sep=;
Jogador;Adversário;Cor;Resultado
0;1;Brancas;2
1;0;Pretas;-2
0;2;Brancas;2
2;0;Pretas;-2
0;3;Brancas;2
3;0;Pretas;-2
0;4;Brancas;-2
4;0;Pretas;2
0;5;Brancas;-2
5;0;Pretas;2
0;6;Brancas;-3
6;0;Pretas;3
0;7;Brancas;-3
7;0;Pretas;3
1;0;Brancas;2
0;1;Pretas;-2
1;2;Brancas;2
2;1;Pretas;-2
1;3;Brancas;2
3;1;Pretas;-2
1;4;Brancas;-2
4;1;Pretas;2
1;5;Brancas;-2
5;1;Pretas;2
1;6;Brancas;-3
6;1;Pretas;3
1;7;Brancas;-3
7;1;Pretas;3
2;0;Brancas;2
0;2;Pretas;-2
2;1;Brancas;2
1;2;Pretas;-2
2;3;Brancas;2
3;2;Pretas;-2
2;4;Brancas;-2
4;2;Pretas;2
2;5;Brancas;-2
5;2;Pretas;2
2;6;Brancas;-3
6;2;Pretas;3
2;7;Brancas;-3
7;2;Pretas;3
3;0;Brancas;2
0;3;Pretas;-2
3;1;Brancas;2
1;3;Pretas;-2
3;2;Brancas;2
2;3;Pretas;-2
3;4;Brancas;-2
4;3;Pretas;2
3;5;Brancas;-2
5;3;Pretas;2
3;6;Brancas;-3
6;3;Pretas;3
3;7;Brancas;-3
7;3;Pretas;3
4;0;Brancas;2
0;4;Pretas;-2
4;1;Brancas;2
1;4;Pretas;-2
4;2;Brancas;2
2;4;Pretas;-2
4;3;Brancas;2
3;4;Pretas;-2
4;5;Brancas;2
5;4;Pretas;-2
4;6;Brancas;0
6;4;Pretas;0
4;7;Brancas;0
7;4;Pretas;0
5;0;Brancas;2
0;5;Pretas;-2
5;1;Brancas;2
1;5;Pretas;-2
5;2;Brancas;2
2;5;Pretas;-2
5;3;Brancas;2
3;5;Pretas;-2
5;4;Brancas;2
4;5;Pretas;-2
5;6;Brancas;0
6;5;Pretas;0
5;7;Brancas;0
7;5;Pretas;0
6;0;Brancas;2
0;6;Pretas;-2
6;1;Brancas;2
1;6;Pretas;-2
6;2;Brancas;2
2;6;Pretas;-2
6;3;Brancas;2
3;6;Pretas;-2
6;4;Brancas;-2
4;6;Pretas;2
6;5;Brancas;-2
5;6;Pretas;2
6;7;Brancas;0
7;6;Pretas;0
7;0;Brancas;2
0;7;Pretas;-2
7;1;Brancas;2
1;7;Pretas;-2
7;2;Brancas;2
2;7;Pretas;-2
7;3;Brancas;2
3;7;Pretas;-2
7;4;Brancas;-2
4;7;Pretas;2
7;5;Brancas;-2
5;7;Pretas;2
7;6;Brancas;0
6;7;Pretas;0

Jogador;P1(Algoritmo);P2(Debug);P3(Seed);P4(Tempo);P5(Iterações);P6(Ver);P7(Limite);P8(Repetidos);P9(pesoAStar);P10(ruido);P11(baralhar);P12(Ordenar);P13(PodaHeuristica);P14(PodaCega);
0;1:MiniMax;0:nada;1;10;0;4;2;1:ignorar;100;0;0;0;0;0;
1;2:MiniMax alfa/beta;0:nada;1;10;0;4;2;1:ignorar;100;0;0;0;0;0;
2;1:MiniMax;0:nada;1;10;0;4;2;1:ignorar;100;0;0;1;0;0;
3;2:MiniMax alfa/beta;0:nada;1;10;0;4;2;1:ignorar;100;0;0;1;0;0;
4;1:MiniMax;0:nada;1;10;0;4;3;1:ignorar;100;0;0;0;0;0;
5;2:MiniMax alfa/beta;0:nada;1;10;0;4;3;1:ignorar;100;0;0;0;0;0;
6;1:MiniMax;0:nada;1;10;0;4;3;1:ignorar;100;0;0;1;0;0;
7;2:MiniMax alfa/beta;0:nada;1;10;0;4;3;1:ignorar;100;0;0;1;0;0;
