sep=;
Jogador;Adversário;Cor;Resultado
0;1;Brancas;0
1;0;Pretas;0
0;2;Brancas;0
2;0;Pretas;0
0;3;Brancas;0
3;0;Pretas;0
1;0;Brancas;1
0;1;Pretas;-1
1;2;Brancas;0
2;1;Pretas;0
1;3;Brancas;0
3;1;Pretas;0
2;0;Brancas;1
0;2;Pretas;-1
2;1;Brancas;1
1;2;Pretas;-1
2;3;Brancas;0
3;2;Pretas;0
3;0;Brancas;1
0;3;Pretas;-1
3;1;Brancas;1
1;3;Pretas;-1
3;2;Brancas;0
2;3;Pretas;0

Jogador;P1(Algoritmo);P2(Debug);P3(Seed);P4(Tempo);P5(Iterações);P6(Ver);P7(Limite);P8(Repetidos);P9(pesoAStar);P10(ruido);P11(baralhar);P12(Ordenar);P13(PodaHeuristica);P14(PodaCega);
0;1:MiniMax;0:nada;1;10;0;4;3;1:ignorar;100;0;0;0;0;0;
1;1:MiniMax;0:nada;1;10;0;4;5;1:ignorar;100;0;0;0;0;0;
2;1:MiniMax;0:nada;1;10;0;4;7;1:ignorar;100;0;0;0;0;0;
3;1:MiniMax;0:nada;1;10;0;4;20;1:ignorar;100;0;0;0;0;0;
