sep=;
Jogador;Adversário;Cor;Resultado
0;1;Brancas;0
1;0;Pretas;0
0;2;Brancas;0
2;0;Pretas;0
0;3;Brancas;0
3;0;Pretas;0
0;4;Brancas;0
4;0;Pretas;0
0;5;Brancas;0
5;0;Pretas;0
1;0;Brancas;1
0;1;Pretas;-1
1;2;Brancas;1
2;1;Pretas;-1
1;3;Brancas;0
3;1;Pretas;0
1;4;Brancas;1
4;1;Pretas;-1
1;5;Brancas;0
5;1;Pretas;0
2;0;Brancas;0
0;2;Pretas;0
2;1;Brancas;0
1;2;Pretas;0
2;3;Brancas;0
3;2;Pretas;0
2;4;Brancas;0
4;2;Pretas;0
2;5;Brancas;1
5;2;Pretas;-1
3;0;Brancas;0
0;3;Pretas;0
3;1;Brancas;0
1;3;Pretas;0
3;2;Brancas;0
2;3;Pretas;0
3;4;Brancas;0
4;3;Pretas;0
3;5;Brancas;1
5;3;Pretas;-1
4;0;Brancas;0
0;4;Pretas;0
4;1;Brancas;0
1;4;Pretas;0
4;2;Brancas;0
2;4;Pretas;0
4;3;Brancas;0
3;4;Pretas;0
4;5;Brancas;0
5;4;Pretas;0
5;0;Brancas;0
0;5;Pretas;0
5;1;Brancas;0
1;5;Pretas;0
5;2;Brancas;0
2;5;Pretas;0
5;3;Brancas;0
3;5;Pretas;0
5;4;Brancas;0
4;5;Pretas;0

Jogador;P1(Algoritmo);P2(Debug);P3(Seed);P4(Tempo);P5(Iterações);P6(Ver);P7(Limite);P8(Repetidos);P9(pesoAStar);P10(ruido);P11(baralhar);P12(Ordenar);P13(PodaHeuristica);P14(PodaCega);
0;1:MiniMax;0:nada;1;1;0;4;0;1:ignorar;100;0;0;0;0;0;
1;2:MiniMax alfa/beta;0:nada;1;1;0;4;0;1:ignorar;100;0;0;0;0;0;
2;1:MiniMax;0:nada;1;1;0;4;0;1:ignorar;100;0;0;1;0;0;
3;2:MiniMax alfa/beta;0:nada;1;1;0;4;0;1:ignorar;100;0;0;1;0;0;
4;1:MiniMax;0:nada;1;1;0;4;0;1:ignorar;100;0;0;2;0;0;
5;2:MiniMax alfa/beta;0:nada;1;1;0;4;0;1:ignorar;100;0;0;2;0;0;
