sep=;
Instância;P1(Algoritmo);P2(Debug);P3(Seed);P4(Tempo);P5(Iterações);P6(Ver);P7(Limite);P8(Repetidos);P9(pesoAStar);P10(ruido);P11(baralhar);I1(Custo);I2(Tempo(ms));I3(Iterações);I4(Expansões);I5(Gerações);I6(Lower Bound);
14;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;1:ignorar;100;0;0;14;1;0;1899;1944;0;
15;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;1:ignorar;100;0;0;15;1;0;1359;1414;0;
16;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;1:ignorar;100;0;0;16;5;0;10052;10112;0;
17;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;1:ignorar;100;0;0;17;2;0;5374;5449;0;
18;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;1:ignorar;100;0;0;18;24;0;41299;41377;0;
19;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;1:ignorar;100;0;0;19;2;0;2545;2642;0;
20;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;1:ignorar;100;0;0;20;131;0;199635;199733;0;
21;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;1:ignorar;100;0;0;21;5;0;8562;8676;0;
22;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;1:ignorar;100;0;0;22;1070;0;1737188;1737308;0;
23;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;1:ignorar;100;0;0;23;19;0;25428;25566;0;
14;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;14;19;0;1899;1937;0;
15;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;15;6;0;1359;1407;0;
16;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;16;12;0;2850;2896;0;
17;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;17;19;0;5206;5258;0;
18;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;18;105;0;28605;28659;0;
19;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;19;29;0;4656;4733;0;
20;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;20;410;0;112596;112672;0;
21;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;21;98;0;20208;20295;0;
22;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;22;1812;0;425154;425243;0;
23;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;23;1137;0;250250;250347;0;
