sep=;
Instância;P1(Algoritmo);P2(Debug);P3(Seed);P4(Tempo);P5(Iterações);P6(Ver);P7(Limite);P8(Repetidos);P9(pesoAStar);P10(ruido);P11(baralhar);I1(Custo);I2(Tempo(ms));I3(Iterações);I4(Expansões);I5(Gerações);I6(Lower Bound);
10;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;1:ignorar;100;0;0;8;0;0;27;30;0;
11;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;1:ignorar;100;0;0;10;0;0;17;20;0;
12;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;1:ignorar;100;0;0;-1;1;0;947;946;0;
13;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;1:ignorar;100;0;0;-1;0;0;1151;1150;0;
14;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;1:ignorar;100;0;0;14;0;0;24;28;0;
15;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;1:ignorar;100;0;0;15;0;0;25;30;0;
16;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;1:ignorar;100;0;0;-1;6;0;17403;17402;0;
17;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;1:ignorar;100;0;0;-1;8;0;24223;24222;0;
18;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;1:ignorar;100;0;0;-1;17;0;46639;46638;0;
19;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;1:ignorar;100;0;0;-1;21;0;57931;57930;0;
10;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;8;15;0;27;29;0;
11;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;10;4;0;17;19;0;
12;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;-1;5;0;119;118;0;
13;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;-1;4;0;143;142;0;
14;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;14;4;0;24;27;0;
15;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;15;5;0;25;29;0;
16;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;-1;5;0;440;439;0;
17;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;-1;4;0;462;461;0;
18;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;-1;5;0;630;629;0;
19;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;-1;6;0;580;579;0;
