sep=;
Instância;P1(Algoritmo);P2(Debug);P3(Seed);P4(Tempo);P5(Iterações);P6(Ver);P7(Limite);P8(Repetidos);P9(pesoAStar);P10(ruido);P11(baralhar);I1(Custo);I2(Tempo(ms));I3(Iterações);I4(Expansões);I5(Gerações);I6(Lower Bound);
30;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;30;15;0;50;58;0;
40;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;-1;10;0;7301;7300;0;
50;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;50;4;0;83;99;0;
60;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;60;3;0;142;159;0;
70;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;70;6;0;119;139;0;
80;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;79;4;0;132;157;0;
90;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;-1;79;0;74065;74064;0;
100;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;-1;132;0;130625;130624;0;
110;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;108;4;0;314;347;0;
120;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;-1;230;0;222208;222207;0;
130;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;-1;291;0;269323;269322;0;
140;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;140;4;0;236;279;0;
150;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;149;5;0;252;296;0;
160;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;-1;710;0;604753;604752;0;
170;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;-1;814;0;655988;655987;0;
180;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;178;4;0;376;427;0;
190;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;190;5;0;673;732;0;
200;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;198;4;0;339;395;0;
