sep=;
Instância;P1(Algoritmo);P2(Debug);P3(Seed);P4(Tempo);P5(Iterações);P6(Ver);P7(Limite);P8(Repetidos);P9(pesoAStar);P10(ruido);P11(baralhar);I1(Custo);I2(Tempo(ms));I3(Iterações);I4(Expansões);I5(Gerações);I6(Lower Bound);
4;1:Largura Primeiro;0:nada;1;10;0;4;-1;1:ignorar;100;0;0;4;0;0;13;15;0;
5;1:Largura Primeiro;0:nada;1;10;0;4;-1;1:ignorar;100;0;0;5;0;0;33;44;0;
6;1:Largura Primeiro;0:nada;1;10;0;4;-1;1:ignorar;100;0;0;6;1;0;114;149;0;
7;1:Largura Primeiro;0:nada;1;10;0;4;-1;1:ignorar;100;0;0;7;0;0;419;512;0;
8;1:Largura Primeiro;0:nada;1;10;0;4;-1;1:ignorar;100;0;0;8;1;0;1665;1965;0;
9;1:Largura Primeiro;0:nada;1;10;0;4;-1;1:ignorar;100;0;0;9;3;0;6977;8042;0;
10;1:Largura Primeiro;0:nada;1;10;0;4;-1;1:ignorar;100;0;0;10;15;0;30779;34815;0;
11;1:Largura Primeiro;0:nada;1;10;0;4;-1;1:ignorar;100;0;0;11;80;0;149131;164246;0;
12;1:Largura Primeiro;0:nada;1;10;0;4;-1;1:ignorar;100;0;0;12;447;0;773731;841989;0;
13;1:Largura Primeiro;0:nada;1;10;0;4;-1;1:ignorar;100;0;0;13;2417;0;4250877;4601178;0;
4;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;1:ignorar;100;0;0;4;0;0;8;10;0;
5;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;1:ignorar;100;0;0;5;0;0;5;11;0;
6;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;1:ignorar;100;0;0;6;0;0;31;39;0;
7;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;1:ignorar;100;0;0;7;0;0;9;22;0;
8;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;1:ignorar;100;0;0;8;0;0;113;124;0;
9;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;1:ignorar;100;0;0;9;0;0;41;60;0;
10;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;1:ignorar;100;0;0;10;0;0;102;124;0;
11;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;1:ignorar;100;0;0;11;0;0;52;83;0;
12;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;1:ignorar;100;0;0;12;0;0;261;295;0;
13;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;1:ignorar;100;0;0;13;0;0;111;154;0;
4;1:Largura Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;4;15;0;8;8;0;
5;1:Largura Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;5;5;0;18;23;0;
6;1:Largura Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;6;5;0;60;75;0;
7;1:Largura Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;7;5;0;211;257;0;
8;1:Largura Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;8;5;0;839;983;0;
9;1:Largura Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;9;13;0;3490;4022;0;
10;1:Largura Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;10;56;0;15392;17408;0;
11;1:Largura Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;11;182;0;74567;82124;0;
12;1:Largura Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;12;901;0;386869;420995;0;
13;1:Largura Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;13;5171;0;2125440;2300590;0;
4;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;4;4;0;8;8;0;
5;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;5;4;0;5;9;0;
6;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;6;4;0;31;36;0;
7;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;7;4;0;9;19;0;
8;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;8;4;0;113;120;0;
9;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;9;4;0;41;56;0;
10;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;10;5;0;102;119;0;
11;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;11;4;0;52;78;0;
12;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;12;4;0;261;289;0;
13;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;13;4;0;111;148;0;
