sep=;
Instância;P1(Algoritmo);P2(Debug);P3(Seed);P4(Tempo);P5(Iterações);P6(Ver);P7(Limite);P8(Repetidos);P9(pesoAStar);P10(ruido);P11(baralhar);I1(Custo);I2(Tempo(ms));I3(Iterações);I4(Expansões);I5(Gerações);I6(Lower Bound);
1;1:Largura Primeiro;0:nada;1;10;1000000;1;0;1:ignorar;100;0;0;4;0;0;8;16;0;
2;1:Largura Primeiro;0:nada;1;10;1000000;1;0;1:ignorar;100;0;0;2;0;0;3;12;0;
3;1:Largura Primeiro;0:nada;1;10;1000000;1;0;1:ignorar;100;0;0;5;0;0;260;1560;0;
4;1:Largura Primeiro;0:nada;1;10;1000000;1;0;1:ignorar;100;0;0;28;0;0;11;26;0;
5;1:Largura Primeiro;0:nada;1;10;1000000;1;0;1:ignorar;100;0;0;29;647;0;408686;817113;0;
6;1:Largura Primeiro;0:nada;1;10;1000000;1;0;1:ignorar;100;0;0;9;0;0;74;148;0;
7;1:Largura Primeiro;0:nada;1;10;1000000;1;0;1:ignorar;100;0;0;29;1785;0;987178;1961027;0;
8;1:Largura Primeiro;0:nada;1;10;1000000;1;0;1:ignorar;100;0;0;-2;12410;0;3616818;52446533;0;
9;1:Largura Primeiro;0:nada;1;10;1000000;1;0;1:ignorar;100;0;0;2;0;0;4;60;0;
10;1:Largura Primeiro;0:nada;1;10;1000000;1;0;1:ignorar;100;0;0;-2;14122;0;1305934;77723134;0;
1;2:Custo Uniforme;0:nada;1;10;1000000;1;0;1:ignorar;100;0;0;4;1;0;18;36;0;
2;2:Custo Uniforme;0:nada;1;10;1000000;1;0;1:ignorar;100;0;0;2;0;0;6;24;0;
3;2:Custo Uniforme;0:nada;1;10;1000000;1;0;1:ignorar;100;0;0;5;5;0;1575;9450;0;
4;2:Custo Uniforme;0:nada;1;10;1000000;1;0;1:ignorar;100;0;0;24;0;0;33;66;0;
5;2:Custo Uniforme;0:nada;1;10;1000000;1;0;1:ignorar;100;0;0;23;168;0;83219;166036;0;
6;2:Custo Uniforme;0:nada;1;10;1000000;1;0;1:ignorar;100;0;0;9;0;0;82;161;0;
7;2:Custo Uniforme;0:nada;1;10;1000000;1;0;1:ignorar;100;0;0;22;351;0;172024;340918;0;
8;2:Custo Uniforme;0:nada;1;10;1000000;1;0;1:ignorar;100;0;0;-2;11681;0;2549679;36961713;0;
9;2:Custo Uniforme;0:nada;1;10;1000000;1;0;1:ignorar;100;0;0;2;2;0;172;2484;0;
10;2:Custo Uniforme;0:nada;1;10;1000000;1;0;1:ignorar;100;0;0;-2;12821;0;904220;53794435;0;
1;3:Profundidade Primeiro;0:nada;1;10;1000000;1;0;1:ignorar;100;0;0;4;1;0;15;30;0;
2;3:Profundidade Primeiro;0:nada;1;10;1000000;1;0;1:ignorar;100;0;0;2;0;0;4;16;0;
3;3:Profundidade Primeiro;0:nada;1;10;1000000;1;0;1:ignorar;100;0;0;5;0;0;315;1890;0;
4;3:Profundidade Primeiro;0:nada;1;10;1000000;1;0;1:ignorar;100;0;0;28;0;0;18;41;0;
5;3:Profundidade Primeiro;0:nada;1;10;1000000;1;0;1:ignorar;100;0;0;29;1454;0;817729;1634837;0;
6;3:Profundidade Primeiro;0:nada;1;10;1000000;1;0;1:ignorar;100;0;0;9;0;0;150;294;0;
7;3:Profundidade Primeiro;0:nada;1;10;1000000;1;0;1:ignorar;100;0;0;29;3544;0;1989155;3950178;0;
8;3:Profundidade Primeiro;0:nada;1;10;1000000;1;0;1:ignorar;100;0;0;-2;10001;0;2880994;41773964;0;
9;3:Profundidade Primeiro;0:nada;1;10;1000000;1;0;1:ignorar;100;0;0;2;0;0;5;77;0;
10;3:Profundidade Primeiro;0:nada;1;10;1000000;1;0;1:ignorar;100;0;0;-2;10001;0;1359754;80919926;0;
1;4:Melhor Primeiro;0:nada;1;10;1000000;1;0;1:ignorar;100;0;0;4;0;10;7;10;0;
2;4:Melhor Primeiro;0:nada;1;10;1000000;1;0;1:ignorar;100;0;0;4;0;16;4;16;0;
3;4:Melhor Primeiro;0:nada;1;10;1000000;1;0;1:ignorar;100;0;0;7;0;42;8;42;0;
4;4:Melhor Primeiro;0:nada;1;10;1000000;1;0;1:ignorar;100;0;0;32;0;22;15;22;0;
5;4:Melhor Primeiro;0:nada;1;10;1000000;1;0;1:ignorar;100;0;0;29;0;40;25;40;0;
6;4:Melhor Primeiro;0:nada;1;10;1000000;1;0;1:ignorar;100;0;0;30;0;295;283;295;0;
