sep=;
Instância;P1(Algoritmo);P2(Debug);P3(Seed);P4(Tempo);P5(Iterações);P6(Ver);P7(Limite);P8(Repetidos);P9(pesoAStar);P10(ruido);P11(baralhar);I1(Custo);I2(Tempo(ms));I3(Iterações);I4(Expansões);I5(Gerações);I6(Lower Bound);
20;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;1:ignorar;100;0;0;18;0;0;87;96;0;
21;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;1:ignorar;100;0;0;21;0;0;46;54;0;
22;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;1:ignorar;100;0;0;21;0;0;35;42;0;
23;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;1:ignorar;100;0;0;-1;134;0;390983;390982;0;
24;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;1:ignorar;100;0;0;-1;381;0;1071431;1071430;0;
25;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;1:ignorar;100;0;0;25;0;0;41;50;0;
26;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;1:ignorar;100;0;0;25;0;0;66;74;0;
27;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;1:ignorar;100;0;0;-1;2420;0;8098059;8098058;0;
28;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;1:ignorar;100;0;0;-1;2431;0;7867847;7867846;0;
29;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;1:ignorar;100;0;0;29;0;0;49;58;0;
20;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;18;14;0;85;93;0;
21;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;21;4;0;46;53;0;
22;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;21;4;0;35;41;0;
23;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;-1;7;0;1236;1235;0;
24;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;-1;5;0;1164;1163;0;
25;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;25;4;0;41;49;0;
26;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;25;4;0;65;72;0;
27;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;-1;5;0;2104;2103;0;
28;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;-1;8;0;2186;2185;0;
29;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;29;4;0;49;57;0;
