sep=;
Instância;P1(Algoritmo);P2(Debug);P3(Seed);P4(Tempo);P5(Iterações);P6(Ver);P7(Limite);P8(Repetidos);P9(pesoAStar);P10(ruido);P11(baralhar);I1(Custo);I2(Tempo(ms));I3(Iterações);I4(Expansões);I5(Gerações);I6(Lower Bound);
205;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;-1;1638;0;1251882;1251881;0;
210;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;-1;1399;0;1107437;1107436;0;
215;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;-1;1824;0;1407324;1407323;0;
220;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;-1;1906;0;1516272;1516271;0;
225;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;224;4;0;382;447;0;
230;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;230;4;0;392;459;0;
235;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;234;4;0;398;467;0;
240;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;239;5;0;463;533;0;
245;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;245;5;0;417;489;0;
250;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;250;5;0;425;499;0;
255;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;254;5;0;433;507;0;
260;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;259;5;0;439;517;0;
265;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;265;5;0;450;529;0;
270;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;270;5;0;460;538;0;
275;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;-2;10001;0;6974880;6974960;0;
280;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;280;5;0;1041;1124;0;
285;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;-2;10001;0;7132853;7132918;0;
290;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;-2;10001;0;7017596;7017672;0;
295;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;-2;10001;0;6435970;6436043;0;
300;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;3:gerados;100;0;0;299;5;0;511;597;0;
