sep=;
Instância;P1(Algoritmo);P2(Debug);P3(Seed);P4(Tempo);P5(Iterações);P6(Ver);P7(Limite);P8(Repetidos);P9(pesoAStar);P10(ruido);P11(baralhar);I1(Custo);I2(Tempo(ms));I3(Iterações);I4(Expansões);I5(Gerações);I6(Lower Bound);
1;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;1;0;3;1;3;0;
2;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;2;0;4;2;4;0;
3;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;3;0;6;3;6;0;
4;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;4;0;7;4;7;0;
5;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;5;0;9;5;9;0;
6;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;6;0;10;6;10;0;
7;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;5;0;9;5;9;0;
8;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;4;0;7;4;7;0;
9;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;3;0;6;3;6;0;
10;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;4;0;9;4;9;0;
11;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;3;0;6;3;6;0;
12;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;4;0;9;4;9;0;
13;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;3;0;6;3;6;0;
14;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;2;0;4;2;4;0;
15;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;3;0;6;3;6;0;
16;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;2;0;4;2;4;0;
17;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;3;0;6;3;6;0;
18;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;4;0;9;4;9;0;
19;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;3;0;6;3;6;0;
20;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;4;0;9;4;9;0;
21;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;5;0;11;5;11;0;
22;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;4;0;9;4;9;0;
23;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;31;0;60;31;60;0;
24;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;32;0;61;32;61;0;
25;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;517;1;916;521;916;0;
26;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;516;1;914;520;914;0;
27;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;515;1;911;519;911;0;
28;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;4;0;9;4;9;0;
29;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;3;0;8;3;8;0;
30;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;4;0;9;4;9;0;
31;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;3;0;8;3;8;0;
32;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;4;0;9;4;9;0;
33;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;5;0;11;5;11;0;
34;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;4;0;9;4;9;0;
35;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;5;0;11;5;11;0;
36;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;4;0;9;4;9;0;
37;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;5;0;11;5;11;0;
38;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;4;0;9;4;9;0;
39;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;5;0;11;5;11;0;
40;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;4;0;9;4;9;0;
41;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;3;1;8;3;8;0;
42;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;4;0;9;4;9;0;
43;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;515;2;911;519;911;0;
44;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;4;0;9;4;9;0;
45;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;515;2;911;519;911;0;
46;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;516;2;914;520;914;0;
47;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;517;2;916;521;916;0;
48;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;32;0;61;32;61;0;
49;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;517;1;916;521;916;0;
50;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;516;2;914;520;914;0;
51;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;517;2;916;521;916;0;
52;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;516;2;914;520;914;0;
53;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;515;2;911;519;911;0;
54;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;516;2;914;520;914;0;
55;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;517;2;916;521;916;0;
56;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;516;2;914;520;914;0;
57;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;517;2;916;521;916;0;
58;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;516;2;914;520;914;0;
59;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;517;2;916;521;916;0;
60;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;32;0;61;32;61;0;
61;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;31;0;60;31;60;0;
62;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;32;0;61;32;61;0;
63;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;31;0;60;31;60;0;
64;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;6;0;12;6;12;0;
65;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;7;0;14;7;14;0;
66;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;6;0;12;6;12;0;
67;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;31;0;60;31;60;0;
68;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;32;0;61;32;61;0;
69;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;517;2;916;521;916;0;
70;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;518;2;917;522;917;0;
71;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;517;2;916;521;916;0;
72;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;516;2;914;520;914;0;
73;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;517;2;916;521;916;0;
74;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;518;2;917;522;917;0;
75;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;329;0;585;332;585;0;
76;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;518;2;917;522;917;0;
77;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;329;1;585;332;585;0;
78;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;330;0;588;333;588;0;
79;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;329;1;585;332;585;0;
80;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;328;1;583;331;583;0;
81;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;327;1;582;330;582;0;
82;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;522;2;923;526;923;0;
83;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;327;1;582;330;582;0;
84;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;24;0;47;24;47;0;
85;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;25;0;49;25;49;0;
86;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;24;0;47;24;47;0;
87;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;327;1;582;330;582;0;
88;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;522;1;923;526;923;0;
89;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;327;0;582;330;582;0;
90;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;522;2;923;526;923;0;
91;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;523;2;925;527;925;0;
92;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;524;2;926;528;926;0;
93;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;525;2;928;529;928;0;
94;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;524;2;926;528;926;0;
95;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;525;1;928;529;928;0;
96;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;114;0;209;115;209;0;
97;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;525;1;928;529;928;0;
98;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;114;0;209;115;209;0;
99;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;115;0;211;116;211;0;
100;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;116;0;212;117;212;0;
1;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;1;0;3;1;3;0;
2;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;2;0;4;2;4;0;
3;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;3;0;6;3;6;0;
4;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;4;0;7;4;7;0;
5;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;5;0;9;5;9;0;
6;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;6;0;10;6;10;0;
7;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;5;0;9;5;9;0;
8;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;4;0;7;4;7;0;
9;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;3;0;6;3;6;0;
10;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;4;0;9;4;9;0;
11;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;3;0;6;3;6;0;
12;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;4;0;9;4;9;0;
13;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;3;0;6;3;6;0;
14;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;2;0;4;2;4;0;
15;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;3;0;6;3;6;0;
16;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;2;0;4;2;4;0;
17;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;3;0;6;3;6;0;
18;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;4;0;9;4;9;0;
19;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;3;0;6;3;6;0;
20;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;4;0;9;4;9;0;
21;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;5;0;11;5;11;0;
22;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;4;0;9;4;9;0;
23;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;5;0;12;6;12;0;
24;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;6;0;12;6;12;0;
25;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;7;0;16;7;16;0;
26;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;6;0;14;6;14;0;
27;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;5;0;12;6;12;0;
28;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;4;0;9;4;9;0;
29;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;3;0;8;3;8;0;
30;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;4;0;9;4;9;0;
31;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;3;0;8;3;8;0;
32;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;4;0;9;4;9;0;
33;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;5;0;11;5;11;0;
34;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;4;0;9;4;9;0;
35;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;5;0;11;5;11;0;
36;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;4;0;9;4;9;0;
37;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;5;0;11;5;11;0;
38;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;4;0;9;4;9;0;
39;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;5;0;11;5;11;0;
40;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;4;0;9;4;9;0;
41;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;3;0;8;3;8;0;
42;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;4;0;9;4;9;0;
43;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;5;0;12;6;12;0;
44;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;4;0;9;4;9;0;
45;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;5;0;12;6;12;0;
46;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;6;0;14;6;14;0;
47;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;7;0;16;7;16;0;
48;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;6;0;12;6;12;0;
49;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;7;0;16;7;16;0;
50;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;6;0;14;6;14;0;
51;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;7;0;16;7;16;0;
52;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;6;0;14;6;14;0;
53;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;5;0;12;6;12;0;
54;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;6;0;14;6;14;0;
55;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;7;0;16;7;16;0;
56;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;6;0;14;6;14;0;
57;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;7;0;16;7;16;0;
58;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;6;0;14;6;14;0;
59;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;7;0;16;7;16;0;
60;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;6;0;12;6;12;0;
61;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;5;0;12;6;12;0;
62;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;6;0;12;6;12;0;
63;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;5;0;12;6;12;0;
64;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;6;0;12;6;12;0;
65;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;7;0;20;10;20;0;
66;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;6;0;12;6;12;0;
67;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;5;0;12;6;12;0;
68;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;6;0;12;6;12;0;
69;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;7;0;16;7;16;0;
70;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;8;0;15;8;15;0;
71;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;7;0;16;7;16;0;
72;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;6;0;14;6;14;0;
73;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;7;0;16;7;16;0;
74;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;8;0;17;8;17;0;
75;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;9;0;23;12;23;0;
76;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;8;0;17;8;17;0;
77;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;9;0;23;12;23;0;
78;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;10;0;22;10;22;0;
79;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;9;0;23;12;23;0;
80;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;10;0;23;12;23;0;
81;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;11;0;34;18;34;0;
82;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;12;0;44;24;44;0;
83;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;11;0;34;18;34;0;
84;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;12;0;68;38;68;0;
85;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;13;0;56;32;56;0;
86;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;12;0;68;38;68;0;
87;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;11;0;34;18;34;0;
88;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;12;0;44;24;44;0;
89;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;11;0;34;18;34;0;
90;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;12;0;44;24;44;0;
91;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;13;0;95;54;95;0;
92;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;14;0;103;58;103;0;
93;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;15;0;187;109;187;0;
94;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;14;0;103;58;103;0;
95;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;15;0;187;109;187;0;
96;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;16;0;196;114;196;0;
97;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;15;1;187;109;187;0;
98;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;16;0;196;114;196;0;
99;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;17;0;308;179;308;0;
100;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;18;1;444;260;444;0;
1;6:IDA*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;1;0;4;1;3;1;
2;6:IDA*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;2;0;5;2;4;2;
3;6:IDA*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;3;0;7;3;6;3;
4;6:IDA*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;4;0;8;4;7;4;
5;6:IDA*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;5;0;10;5;9;5;
6;6:IDA*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;6;0;11;6;10;6;
7;6:IDA*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;5;0;10;5;9;5;
8;6:IDA*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;4;0;8;4;7;4;
9;6:IDA*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;3;0;7;3;6;3;
10;6:IDA*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;4;0;10;4;9;4;
11;6:IDA*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;3;0;7;3;6;3;
12;6:IDA*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;4;0;10;4;9;4;
13;6:IDA*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;3;0;7;3;6;3;
14;6:IDA*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;2;0;5;2;4;2;
15;6:IDA*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;3;0;7;3;6;3;
16;6:IDA*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;2;0;5;2;4;2;
17;6:IDA*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;3;0;7;3;6;3;
18;6:IDA*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;4;0;10;4;9;4;
19;6:IDA*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;3;0;7;3;6;3;
20;6:IDA*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;4;0;10;4;9;4;
21;6:IDA*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;5;0;12;5;11;5;
22;6:IDA*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;4;0;10;4;9;4;
23;6:IDA*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;5;0;13;6;12;7;
24;6:IDA*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;6;0;14;7;13;8;
25;6:IDA*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;7;0;18;8;17;9;
26;6:IDA*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;6;0;16;7;15;8;
27;6:IDA*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;5;0;13;6;12;7;
