sep=;
Instância;P1(Algoritmo);P2(Debug);P3(Seed);P4(Tempo);P5(Iterações);P6(Ver);P7(Limite);P8(Repetidos);P9(pesoAStar);P10(ruido);P11(baralhar);I1(Custo);I2(Tempo(ms));I3(Iterações);I4(Expansões);I5(Gerações);I6(Lower Bound);
900;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;390;1;703;392;703;0;
901;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;389;1;700;391;700;0;
902;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;390;1;703;392;703;0;
903;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;389;1;700;391;700;0;
904;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;390;1;703;392;703;0;
905;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;97;0;175;97;175;0;
906;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;96;1;173;96;173;0;
907;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;95;0;172;95;172;0;
908;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;94;1;170;94;170;0;
909;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;93;0;169;93;169;0;
910;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;94;0;170;94;170;0;
911;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;95;0;172;95;172;0;
912;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;94;0;170;94;170;0;
913;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;93;0;169;93;169;0;
914;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;94;0;172;94;172;0;
915;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;93;0;169;93;169;0;
916;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;94;0;170;94;170;0;
