sep=;
Instância;P1(ALGORITMO);P2(NIVEL_DEBUG);P3(SEMENTE);P4(LIMITE_TEMPO);P5(LIMITE_ITERACOES);P6(POPULACAO);P7(PROB_CRUZAR);P8(PROB_MUTAR);P9(SELECAO);P10(PRESSAO);P11(TAMANHO_TORNEIO);P12(PROB_MELHOR_TORNEIO);P13(SOBREVIVENCIA);P14(PERC_DESCENDENTES);P15(Q_ROUND_ROBIN);P16(ELITISMO);P17(IMIGRANTES);P18(DIVERSIDADE);P19(DIST_MINIMA);P20(MOVE_PRIMEIRO);P21(TIPO_CRUZAR);P22(TIPO_MUTAR);P23(TIPO_VIZINHO);P24(LIMITE_VIZINHOS);P25(TIPO_DISTANCIA);I1(Resultado);I2(Tempo(ms));I3(Iterações);I4(Épocas);I5(Gerações);
4;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;20;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;0;0;241;10;250;
5;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;20;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;0;0;210;9;218;
6;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;20;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;0;0;105;4;108;
7;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;20;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;0;3;2040;95;2134;
8;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;20;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;0;3;2063;96;2158;
9;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;20;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;0;17;9500;446;9945;
10;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;20;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;0;8;3066;144;3209;
11;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;20;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;0;91;40402;1898;42299;
12;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;20;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;0;84;34942;1641;36582;
13;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;20;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;0;533;201347;9467;210813;
14;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;20;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;0;455;146253;6879;153131;
15;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;20;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;0;603;184587;8681;193267;
16;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;20;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;0;61;15886;748;16633;
17;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;20;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;0;2757;689898;32461;722358;
18;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;20;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;0;1833;403174;18973;422146;
19;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;20;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;0;3164;695640;32722;728361;
20;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;20;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;0;3460;676772;31860;708631;
21;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;20;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;1;5612;1000002;47056;1047057;
22;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;20;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;1;6039;1000013;47060;1047072;
23;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;20;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;0;3141;458090;21565;479654;
24;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;20;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;1;6915;1000002;47070;1047071;
25;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;20;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;0;2643;347321;16343;363663;
26;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;20;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;1;10001;998103;46990;1045092;
27;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;20;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;1;10001;910933;42896;953828;
28;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;20;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;2;10001;954472;44966;999437;
29;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;20;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;1;10001;867581;40859;908439;
