sep=;
Instância;P1(ALGORITMO);P2(NIVEL_DEBUG);P3(SEMENTE);P4(LIMITE_TEMPO);P5(LIMITE_ITERACOES);P6(ESTRUTURA_DADOS);I1(Resultado);I2(Tempo(ms));I3(Iterações);I4(IND_ORDENAR);
1;1:Add();0:NADA;1;10;0;1:TVector;1;11;1;0;
3;1:Add();0:NADA;1;10;0;1:TVector;1;34;1;0;
1;2:Sort();0:NADA;1;10;0;1:TVector;1;80;1;1;
3;2:Sort();0:NADA;1;10;0;1:TVector;1;260;1;1;
1;3:RandomOrder();0:NADA;1;10;0;1:TVector;1;9;1;0;
3;3:RandomOrder();0:NADA;1;10;0;1:TVector;1;49;1;0;
1;4:Invert();0:NADA;1;10;0;1:TVector;1;0;1;0;
3;4:Invert();0:NADA;1;10;0;1:TVector;1;2;1;0;
1;5:BeASet();0:NADA;1;10;0;1:TVector;1;85;1;1;
3;5:BeASet();0:NADA;1;10;0;1:TVector;1;273;1;1;
1;6:Difference();0:NADA;1;10;0;1:TVector;1;195;1;1;
3;6:Difference();0:NADA;1;10;0;1:TVector;1;791;1;1;
1;7:Union();0:NADA;1;10;0;1:TVector;1;388;1;1;
3;7:Union();0:NADA;1;10;0;1:TVector;1;1147;1;1;
1;8:Contained();0:NADA;1;10;0;1:TVector;1;143;1;1;
3;8:Contained();0:NADA;1;10;0;1:TVector;1;540;1;1;
1;9:Intersection();0:NADA;1;10;0;1:TVector;1;271;1;1;
3;9:Intersection();0:NADA;1;10;0;1:TVector;1;737;1;1;
1;10:operator=();0:NADA;1;10;0;1:TVector;1;1;1;0;
3;10:operator=();0:NADA;1;10;0;1:TVector;1;3;1;0;
1;11:operator+=();0:NADA;1;10;0;1:TVector;1;1;1;0;
3;11:operator+=();0:NADA;1;10;0;1:TVector;1;5;1;0;
1;12:nada;0:NADA;1;10;0;1:TVector;1;0;1;0;
3;12:nada;0:NADA;1;10;0;1:TVector;1;0;1;0;
1;1:Add();0:NADA;1;10;0;2:std::vector;1;10;1;0;
3;1:Add();0:NADA;1;10;0;2:std::vector;1;32;1;0;
1;2:Sort();0:NADA;1;10;0;2:std::vector;1;138;1;1;
3;2:Sort();0:NADA;1;10;0;2:std::vector;1;493;1;1;
1;3:RandomOrder();0:NADA;1;10;0;2:std::vector;1;79;1;0;
3;3:RandomOrder();0:NADA;1;10;0;2:std::vector;1;264;1;0;
1;4:Invert();0:NADA;1;10;0;2:std::vector;1;0;1;0;
3;4:Invert();0:NADA;1;10;0;2:std::vector;1;1;1;0;
1;5:BeASet();0:NADA;1;10;0;2:std::vector;1;176;1;1;
3;5:BeASet();0:NADA;1;10;0;2:std::vector;1;447;1;1;
1;6:Difference();0:NADA;1;10;0;2:std::vector;1;290;1;1;
3;6:Difference();0:NADA;1;10;0;2:std::vector;1;889;1;1;
1;7:Union();0:NADA;1;10;0;2:std::vector;1;249;1;1;
3;7:Union();0:NADA;1;10;0;2:std::vector;1;829;1;1;
1;8:Contained();0:NADA;1;10;0;2:std::vector;1;190;1;1;
3;8:Contained();0:NADA;1;10;0;2:std::vector;1;760;1;1;
1;9:Intersection();0:NADA;1;10;0;2:std::vector;1;240;1;1;
3;9:Intersection();0:NADA;1;10;0;2:std::vector;1;649;1;1;
1;10:operator=();0:NADA;1;10;0;2:std::vector;1;0;1;0;
3;10:operator=();0:NADA;1;10;0;2:std::vector;1;1;1;0;
1;11:operator+=();0:NADA;1;10;0;2:std::vector;1;0;1;0;
3;11:operator+=();0:NADA;1;10;0;2:std::vector;1;5;1;0;
1;12:nada;0:NADA;1;10;0;2:std::vector;1;0;1;0;
3;12:nada;0:NADA;1;10;0;2:std::vector;1;0;1;0;
1;1:Add();0:NADA;1;10;0;3:TVector/std::algorithm;1;10;1;0;
3;1:Add();0:NADA;1;10;0;3:TVector/std::algorithm;1;25;1;0;
1;2:Sort();0:NADA;1;10;0;3:TVector/std::algorithm;1;95;1;1;
3;2:Sort();0:NADA;1;10;0;3:TVector/std::algorithm;1;300;1;1;
1;3:RandomOrder();0:NADA;1;10;0;3:TVector/std::algorithm;1;10;1;0;
3;3:RandomOrder();0:NADA;1;10;0;3:TVector/std::algorithm;1;50;1;0;
1;4:Invert();0:NADA;1;10;0;3:TVector/std::algorithm;1;0;1;0;
3;4:Invert();0:NADA;1;10;0;3:TVector/std::algorithm;1;1;1;0;
1;5:BeASet();0:NADA;1;10;0;3:TVector/std::algorithm;1;87;1;1;
3;5:BeASet();0:NADA;1;10;0;3:TVector/std::algorithm;1;271;1;1;
1;6:Difference();0:NADA;1;10;0;3:TVector/std::algorithm;1;181;1;1;
3;6:Difference();0:NADA;1;10;0;3:TVector/std::algorithm;1;547;1;1;
1;7:Union();0:NADA;1;10;0;3:TVector/std::algorithm;1;338;1;1;
3;7:Union();0:NADA;1;10;0;3:TVector/std::algorithm;1;1271;1;1;
1;8:Contained();0:NADA;1;10;0;3:TVector/std::algorithm;1;218;1;1;
3;8:Contained();0:NADA;1;10;0;3:TVector/std::algorithm;1;669;1;1;
1;9:Intersection();0:NADA;1;10;0;3:TVector/std::algorithm;1;209;1;1;
3;9:Intersection();0:NADA;1;10;0;3:TVector/std::algorithm;1;702;1;1;
1;10:operator=();0:NADA;1;10;0;3:TVector/std::algorithm;1;1;1;0;
3;10:operator=();0:NADA;1;10;0;3:TVector/std::algorithm;1;3;1;0;
1;11:operator+=();0:NADA;1;10;0;3:TVector/std::algorithm;1;1;1;0;
3;11:operator+=();0:NADA;1;10;0;3:TVector/std::algorithm;1;2;1;0;
1;12:nada;0:NADA;1;10;0;3:TVector/std::algorithm;1;0;1;0;
3;12:nada;0:NADA;1;10;0;3:TVector/std::algorithm;1;0;1;0;
