sep=;
Instância;P1(Método);P2(Debug);P3(Seed);P4(Tempo);P5(Iterações);P6(Estrutura);I3(Iterações);I1(Resultado);I4(Ordenado);I2(Tempo(ms));
1;Add();nada;1;10;0;TVector;1;1;0;104;
2;Add();nada;1;10;0;TVector;1;1;0;448;
3;Add();nada;1;10;0;TVector;1;1;0;397;
4;Add();nada;1;10;0;TVector;1;1;0;416;
5;Add();nada;1;10;0;TVector;1;1;0;613;
1;Sort();nada;1;10;0;TVector;1;1;1;641;
2;Sort();nada;1;10;0;TVector;1;1;1;1234;
3;Sort();nada;1;10;0;TVector;1;1;1;1922;
4;Sort();nada;1;10;0;TVector;1;1;1;4255;
5;Sort();nada;1;10;0;TVector;1;1;1;6089;
1;RandomOrder();nada;1;10;0;TVector;1;1;0;110;
2;RandomOrder();nada;1;10;0;TVector;1;1;0;231;
3;RandomOrder();nada;1;10;0;TVector;1;1;0;332;
4;RandomOrder();nada;1;10;0;TVector;1;1;0;694;
5;RandomOrder();nada;1;10;0;TVector;1;1;0;858;
1;Invert();nada;1;10;0;TVector;1;1;0;1;
2;Invert();nada;1;10;0;TVector;1;1;0;3;
3;Invert();nada;1;10;0;TVector;1;1;0;3;
4;Invert();nada;1;10;0;TVector;1;1;0;4;
5;Invert();nada;1;10;0;TVector;1;1;0;3;
1;BeASet();nada;1;10;0;TVector;1;1;1;1082;
2;BeASet();nada;1;10;0;TVector;1;1;1;2258;
3;BeASet();nada;1;10;0;TVector;1;1;1;3411;
4;BeASet();nada;1;10;0;TVector;1;1;1;5302;
5;BeASet();nada;1;10;0;TVector;1;1;1;5990;
1;Add();nada;1;10;0;std::vector;1;1;0;174;
2;Add();nada;1;10;0;std::vector;1;1;0;311;
3;Add();nada;1;10;0;std::vector;1;1;0;512;
4;Add();nada;1;10;0;std::vector;1;1;0;682;
5;Add();nada;1;10;0;std::vector;1;1;0;879;
1;Sort();nada;1;10;0;std::vector;1;1;1;1101;
2;Sort();nada;1;10;0;std::vector;1;1;1;2372;
3;Sort();nada;1;10;0;std::vector;1;1;1;3464;
4;Sort();nada;1;10;0;std::vector;1;1;1;4293;
5;Sort();nada;1;10;0;std::vector;1;1;1;6106;
1;RandomOrder();nada;1;10;0;std::vector;1;1;0;108;
2;RandomOrder();nada;1;10;0;std::vector;1;1;0;360;
3;RandomOrder();nada;1;10;0;std::vector;1;1;0;540;
4;RandomOrder();nada;1;10;0;std::vector;1;1;0;576;
5;RandomOrder();nada;1;10;0;std::vector;1;1;0;712;
1;Invert();nada;1;10;0;std::vector;1;1;0;2;
2;Invert();nada;1;10;0;std::vector;1;1;0;1;
3;Invert();nada;1;10;0;std::vector;1;1;0;2;
4;Invert();nada;1;10;0;std::vector;1;1;0;2;
5;Invert();nada;1;10;0;std::vector;1;1;0;3;
1;BeASet();nada;1;10;0;std::vector;1;1;1;1116;
2;BeASet();nada;1;10;0;std::vector;1;1;1;2295;
3;BeASet();nada;1;10;0;std::vector;1;1;1;3751;
4;BeASet();nada;1;10;0;std::vector;1;1;1;4906;
5;BeASet();nada;1;10;0;std::vector;1;1;1;6090;
