sep=;
Instância;P1(Método);P2(Debug);P3(Seed);P4(Tempo);P5(Iterações);P6(Estrutura);I1(Resultado);I2(Tempo(ms));I3(Iterações);I4(Ordenado);
1;2:Sort();0:nada;1;10;0;1:TVector;1;91;1;1;
2;2:Sort();0:nada;1;10;0;1:TVector;1;151;1;1;
3;2:Sort();0:nada;1;10;0;1:TVector;1;264;1;1;
4;2:Sort();0:nada;1;10;0;1:TVector;1;342;1;1;
5;2:Sort();0:nada;1;10;0;1:TVector;1;436;1;1;
6;2:Sort();0:nada;1;10;0;1:TVector;1;530;1;1;
7;2:Sort();0:nada;1;10;0;1:TVector;1;585;1;1;
8;2:Sort();0:nada;1;10;0;1:TVector;1;690;1;1;
9;2:Sort();0:nada;1;10;0;1:TVector;1;787;1;1;
10;2:Sort();0:nada;1;10;0;1:TVector;1;857;1;1;
1;2:Sort();0:nada;2;10;0;1:TVector;1;77;1;1;
2;2:Sort();0:nada;2;10;0;1:TVector;1;182;1;1;
3;2:Sort();0:nada;2;10;0;1:TVector;1;329;1;1;
4;2:Sort();0:nada;2;10;0;1:TVector;1;337;1;1;
5;2:Sort();0:nada;2;10;0;1:TVector;1;439;1;1;
6;2:Sort();0:nada;2;10;0;1:TVector;1;529;1;1;
7;2:Sort();0:nada;2;10;0;1:TVector;1;603;1;1;
8;2:Sort();0:nada;2;10;0;1:TVector;1;678;1;1;
9;2:Sort();0:nada;2;10;0;1:TVector;1;770;1;1;
10;2:Sort();0:nada;2;10;0;1:TVector;1;895;1;1;
1;2:Sort();0:nada;3;10;0;1:TVector;1;92;1;1;
2;2:Sort();0:nada;3;10;0;1:TVector;1;153;1;1;
3;2:Sort();0:nada;3;10;0;1:TVector;1;274;1;1;
4;2:Sort();0:nada;3;10;0;1:TVector;1;342;1;1;
5;2:Sort();0:nada;3;10;0;1:TVector;1;412;1;1;
6;2:Sort();0:nada;3;10;0;1:TVector;1;682;1;1;
7;2:Sort();0:nada;3;10;0;1:TVector;1;615;1;1;
8;2:Sort();0:nada;3;10;0;1:TVector;1;672;1;1;
9;2:Sort();0:nada;3;10;0;1:TVector;1;785;1;1;
10;2:Sort();0:nada;3;10;0;1:TVector;1;924;1;1;
1;2:Sort();0:nada;4;10;0;1:TVector;1;92;1;1;
2;2:Sort();0:nada;4;10;0;1:TVector;1;275;1;1;
3;2:Sort();0:nada;4;10;0;1:TVector;1;238;1;1;
4;2:Sort();0:nada;4;10;0;1:TVector;1;323;1;1;
5;2:Sort();0:nada;4;10;0;1:TVector;1;424;1;1;
6;2:Sort();0:nada;4;10;0;1:TVector;1;505;1;1;
7;2:Sort();0:nada;4;10;0;1:TVector;1;610;1;1;
8;2:Sort();0:nada;4;10;0;1:TVector;1;685;1;1;
9;2:Sort();0:nada;4;10;0;1:TVector;1;787;1;1;
10;2:Sort();0:nada;4;10;0;1:TVector;1;937;1;1;
1;2:Sort();0:nada;5;10;0;1:TVector;1;75;1;1;
2;2:Sort();0:nada;5;10;0;1:TVector;1;158;1;1;
3;2:Sort();0:nada;5;10;0;1:TVector;1;246;1;1;
4;2:Sort();0:nada;5;10;0;1:TVector;1;335;1;1;
5;2:Sort();0:nada;5;10;0;1:TVector;1;415;1;1;
6;2:Sort();0:nada;5;10;0;1:TVector;1;497;1;1;
7;2:Sort();0:nada;5;10;0;1:TVector;1;598;1;1;
8;2:Sort();0:nada;5;10;0;1:TVector;1;700;1;1;
9;2:Sort();0:nada;5;10;0;1:TVector;1;777;1;1;
10;2:Sort();0:nada;5;10;0;1:TVector;1;943;1;1;
1;2:Sort();0:nada;6;10;0;1:TVector;1;76;1;1;
2;2:Sort();0:nada;6;10;0;1:TVector;1;163;1;1;
3;2:Sort();0:nada;6;10;0;1:TVector;1;239;1;1;
4;2:Sort();0:nada;6;10;0;1:TVector;1;322;1;1;
5;2:Sort();0:nada;6;10;0;1:TVector;1;409;1;1;
6;2:Sort();0:nada;6;10;0;1:TVector;1;505;1;1;
7;2:Sort();0:nada;6;10;0;1:TVector;1;599;1;1;
8;2:Sort();0:nada;6;10;0;1:TVector;1;690;1;1;
9;2:Sort();0:nada;6;10;0;1:TVector;1;795;1;1;
10;2:Sort();0:nada;6;10;0;1:TVector;1;893;1;1;
1;2:Sort();0:nada;7;10;0;1:TVector;1;71;1;1;
2;2:Sort();0:nada;7;10;0;1:TVector;1;158;1;1;
3;2:Sort();0:nada;7;10;0;1:TVector;1;244;1;1;
4;2:Sort();0:nada;7;10;0;1:TVector;1;317;1;1;
5;2:Sort();0:nada;7;10;0;1:TVector;1;417;1;1;
6;2:Sort();0:nada;7;10;0;1:TVector;1;506;1;1;
7;2:Sort();0:nada;7;10;0;1:TVector;1;591;1;1;
8;2:Sort();0:nada;7;10;0;1:TVector;1;715;1;1;
9;2:Sort();0:nada;7;10;0;1:TVector;1;807;1;1;
10;2:Sort();0:nada;7;10;0;1:TVector;1;936;1;1;
1;2:Sort();0:nada;8;10;0;1:TVector;1;71;1;1;
2;2:Sort();0:nada;8;10;0;1:TVector;1;163;1;1;
3;2:Sort();0:nada;8;10;0;1:TVector;1;257;1;1;
4;2:Sort();0:nada;8;10;0;1:TVector;1;380;1;1;
5;2:Sort();0:nada;8;10;0;1:TVector;1;427;1;1;
6;2:Sort();0:nada;8;10;0;1:TVector;1;530;1;1;
7;2:Sort();0:nada;8;10;0;1:TVector;1;586;1;1;
8;2:Sort();0:nada;8;10;0;1:TVector;1;679;1;1;
9;2:Sort();0:nada;8;10;0;1:TVector;1;904;1;1;
10;2:Sort();0:nada;8;10;0;1:TVector;1;877;1;1;
1;2:Sort();0:nada;9;10;0;1:TVector;1;76;1;1;
2;2:Sort();0:nada;9;10;0;1:TVector;1;156;1;1;
3;2:Sort();0:nada;9;10;0;1:TVector;1;244;1;1;
4;2:Sort();0:nada;9;10;0;1:TVector;1;337;1;1;
5;2:Sort();0:nada;9;10;0;1:TVector;1;426;1;1;
6;2:Sort();0:nada;9;10;0;1:TVector;1;500;1;1;
7;2:Sort();0:nada;9;10;0;1:TVector;1;596;1;1;
8;2:Sort();0:nada;9;10;0;1:TVector;1;686;1;1;
9;2:Sort();0:nada;9;10;0;1:TVector;1;795;1;1;
10;2:Sort();0:nada;9;10;0;1:TVector;1;924;1;1;
1;2:Sort();0:nada;10;10;0;1:TVector;1;73;1;1;
2;2:Sort();0:nada;10;10;0;1:TVector;1;160;1;1;
3;2:Sort();0:nada;10;10;0;1:TVector;1;251;1;1;
4;2:Sort();0:nada;10;10;0;1:TVector;1;322;1;1;
5;2:Sort();0:nada;10;10;0;1:TVector;1;412;1;1;
6;2:Sort();0:nada;10;10;0;1:TVector;1;498;1;1;
7;2:Sort();0:nada;10;10;0;1:TVector;1;606;1;1;
8;2:Sort();0:nada;10;10;0;1:TVector;1;686;1;1;
9;2:Sort();0:nada;10;10;0;1:TVector;1;845;1;1;
10;2:Sort();0:nada;10;10;0;1:TVector;1;919;1;1;
1;2:Sort();0:nada;1;10;0;2:std::vector;1;80;1;1;
2;2:Sort();0:nada;1;10;0;2:std::vector;1;167;1;1;
3;2:Sort();0:nada;1;10;0;2:std::vector;1;243;1;1;
4;2:Sort();0:nada;1;10;0;2:std::vector;1;329;1;1;
5;2:Sort();0:nada;1;10;0;2:std::vector;1;417;1;1;
6;2:Sort();0:nada;1;10;0;2:std::vector;1;812;1;1;
7;2:Sort();0:nada;1;10;0;2:std::vector;1;651;1;1;
8;2:Sort();0:nada;1;10;0;2:std::vector;1;835;1;1;
9;2:Sort();0:nada;1;10;0;2:std::vector;1;931;1;1;
10;2:Sort();0:nada;1;10;0;2:std::vector;1;894;1;1;
1;2:Sort();0:nada;2;10;0;2:std::vector;1;73;1;1;
2;2:Sort();0:nada;2;10;0;2:std::vector;1;154;1;1;
3;2:Sort();0:nada;2;10;0;2:std::vector;1;243;1;1;
4;2:Sort();0:nada;2;10;0;2:std::vector;1;321;1;1;
5;2:Sort();0:nada;2;10;0;2:std::vector;1;411;1;1;
6;2:Sort();0:nada;2;10;0;2:std::vector;1;674;1;1;
7;2:Sort();0:nada;2;10;0;2:std::vector;1;777;1;1;
8;2:Sort();0:nada;2;10;0;2:std::vector;1;800;1;1;
9;2:Sort();0:nada;2;10;0;2:std::vector;1;859;1;1;
10;2:Sort();0:nada;2;10;0;2:std::vector;1;1074;1;1;
1;2:Sort();0:nada;3;10;0;2:std::vector;1;127;1;1;
2;2:Sort();0:nada;3;10;0;2:std::vector;1;205;1;1;
3;2:Sort();0:nada;3;10;0;2:std::vector;1;274;1;1;
4;2:Sort();0:nada;3;10;0;2:std::vector;1;393;1;1;
5;2:Sort();0:nada;3;10;0;2:std::vector;1;448;1;1;
6;2:Sort();0:nada;3;10;0;2:std::vector;1;572;1;1;
7;2:Sort();0:nada;3;10;0;2:std::vector;1;731;1;1;
8;2:Sort();0:nada;3;10;0;2:std::vector;1;837;1;1;
9;2:Sort();0:nada;3;10;0;2:std::vector;1;1098;1;1;
10;2:Sort();0:nada;3;10;0;2:std::vector;1;1413;1;1;
1;2:Sort();0:nada;4;10;0;2:std::vector;1;109;1;1;
2;2:Sort();0:nada;4;10;0;2:std::vector;1;336;1;1;
3;2:Sort();0:nada;4;10;0;2:std::vector;1;400;1;1;
4;2:Sort();0:nada;4;10;0;2:std::vector;1;547;1;1;
5;2:Sort();0:nada;4;10;0;2:std::vector;1;689;1;1;
6;2:Sort();0:nada;4;10;0;2:std::vector;1;936;1;1;
