sep=;
Instância;P1(Método);P2(Debug);P3(Seed);P4(Tempo);P5(Iterações);P6(Estrutura);I1(Resultado);I2(Tempo(ms));I3(Iterações);I4(Ordenado);
1;2:Sort();0:nada;1;10;0;1:TVector;1;75;1;1;
2;2:Sort();0:nada;1;10;0;1:TVector;1;157;1;1;
3;2:Sort();0:nada;1;10;0;1:TVector;1;216;1;1;
4;2:Sort();0:nada;1;10;0;1:TVector;1;314;1;1;
5;2:Sort();0:nada;1;10;0;1:TVector;1;381;1;1;
6;2:Sort();0:nada;1;10;0;1:TVector;1;476;1;1;
7;2:Sort();0:nada;1;10;0;1:TVector;1;542;1;1;
8;2:Sort();0:nada;1;10;0;1:TVector;1;686;1;1;
9;2:Sort();0:nada;1;10;0;1:TVector;1;728;1;1;
10;2:Sort();0:nada;1;10;0;1:TVector;1;846;1;1;
1;2:Sort();0:nada;2;10;0;1:TVector;1;69;1;1;
2;2:Sort();0:nada;2;10;0;1:TVector;1;140;1;1;
3;2:Sort();0:nada;2;10;0;1:TVector;1;226;1;1;
4;2:Sort();0:nada;2;10;0;1:TVector;1;339;1;1;
5;2:Sort();0:nada;2;10;0;1:TVector;1;391;1;1;
6;2:Sort();0:nada;2;10;0;1:TVector;1;457;1;1;
7;2:Sort();0:nada;2;10;0;1:TVector;1;557;1;1;
8;2:Sort();0:nada;2;10;0;1:TVector;1;648;1;1;
9;2:Sort();0:nada;2;10;0;1:TVector;1;727;1;1;
10;2:Sort();0:nada;2;10;0;1:TVector;1;824;1;1;
1;2:Sort();0:nada;3;10;0;1:TVector;1;71;1;1;
2;2:Sort();0:nada;3;10;0;1:TVector;1;147;1;1;
3;2:Sort();0:nada;3;10;0;1:TVector;1;223;1;1;
4;2:Sort();0:nada;3;10;0;1:TVector;1;288;1;1;
5;2:Sort();0:nada;3;10;0;1:TVector;1;385;1;1;
6;2:Sort();0:nada;3;10;0;1:TVector;1;466;1;1;
7;2:Sort();0:nada;3;10;0;1:TVector;1;535;1;1;
8;2:Sort();0:nada;3;10;0;1:TVector;1;617;1;1;
9;2:Sort();0:nada;3;10;0;1:TVector;1;727;1;1;
10;2:Sort();0:nada;3;10;0;1:TVector;1;798;1;1;
1;2:Sort();0:nada;4;10;0;1:TVector;1;70;1;1;
2;2:Sort();0:nada;4;10;0;1:TVector;1;164;1;1;
3;2:Sort();0:nada;4;10;0;1:TVector;1;239;1;1;
4;2:Sort();0:nada;4;10;0;1:TVector;1;298;1;1;
5;2:Sort();0:nada;4;10;0;1:TVector;1;391;1;1;
6;2:Sort();0:nada;4;10;0;1:TVector;1;460;1;1;
7;2:Sort();0:nada;4;10;0;1:TVector;1;583;1;1;
8;2:Sort();0:nada;4;10;0;1:TVector;1;610;1;1;
9;2:Sort();0:nada;4;10;0;1:TVector;1;754;1;1;
10;2:Sort();0:nada;4;10;0;1:TVector;1;811;1;1;
1;2:Sort();0:nada;5;10;0;1:TVector;1;69;1;1;
2;2:Sort();0:nada;5;10;0;1:TVector;1;156;1;1;
3;2:Sort();0:nada;5;10;0;1:TVector;1;223;1;1;
4;2:Sort();0:nada;5;10;0;1:TVector;1;301;1;1;
5;2:Sort();0:nada;5;10;0;1:TVector;1;375;1;1;
6;2:Sort();0:nada;5;10;0;1:TVector;1;531;1;1;
7;2:Sort();0:nada;5;10;0;1:TVector;1;554;1;1;
8;2:Sort();0:nada;5;10;0;1:TVector;1;657;1;1;
9;2:Sort();0:nada;5;10;0;1:TVector;1;751;1;1;
10;2:Sort();0:nada;5;10;0;1:TVector;1;807;1;1;
1;2:Sort();0:nada;6;10;0;1:TVector;1;93;1;1;
2;2:Sort();0:nada;6;10;0;1:TVector;1;151;1;1;
3;2:Sort();0:nada;6;10;0;1:TVector;1;225;1;1;
4;2:Sort();0:nada;6;10;0;1:TVector;1;297;1;1;
5;2:Sort();0:nada;6;10;0;1:TVector;1;396;1;1;
