sep=;
Instância;P1(Método);P2(NIVEL_DEBUG);P3(SEMENTE);P4(LIMITE_TEMPO);P5(LIMITE_ITERACOES);P6(ESTRUTURA_DADOS);I1(Resultado);I2(Tempo(ms));I3(Iterações);I4(IND_ORDENAR);
1;2:Sort();4:COMPLETO;1;10;0;1:TVector;1;65;1;1;
2;2:Sort();4:COMPLETO;1;10;0;1:TVector;1;149;1;1;
3;2:Sort();4:COMPLETO;1;10;0;1:TVector;1;220;1;1;
4;2:Sort();4:COMPLETO;1;10;0;1:TVector;1;307;1;1;
5;2:Sort();4:COMPLETO;1;10;0;1:TVector;1;371;1;1;
6;2:Sort();4:COMPLETO;1;10;0;1:TVector;1;450;1;1;
7;2:Sort();4:COMPLETO;1;10;0;1:TVector;1;539;1;1;
8;2:Sort();4:COMPLETO;1;10;0;1:TVector;1;611;1;1;
9;2:Sort();4:COMPLETO;1;10;0;1:TVector;1;693;1;1;
10;2:Sort();4:COMPLETO;1;10;0;1:TVector;1;787;1;1;
1;2:Sort();4:COMPLETO;2;10;0;1:TVector;1;65;1;1;
2;2:Sort();4:COMPLETO;2;10;0;1:TVector;1;137;1;1;
3;2:Sort();4:COMPLETO;2;10;0;1:TVector;1;224;1;1;
4;2:Sort();4:COMPLETO;2;10;0;1:TVector;1;298;1;1;
5;2:Sort();4:COMPLETO;2;10;0;1:TVector;1;391;1;1;
6;2:Sort();4:COMPLETO;2;10;0;1:TVector;1;446;1;1;
7;2:Sort();4:COMPLETO;2;10;0;1:TVector;1;526;1;1;
8;2:Sort();4:COMPLETO;2;10;0;1:TVector;1;616;1;1;
9;2:Sort();4:COMPLETO;2;10;0;1:TVector;1;689;1;1;
10;2:Sort();4:COMPLETO;2;10;0;1:TVector;1;772;1;1;
1;2:Sort();4:COMPLETO;3;10;0;1:TVector;1;69;1;1;
2;2:Sort();4:COMPLETO;3;10;0;1:TVector;1;136;1;1;
3;2:Sort();4:COMPLETO;3;10;0;1:TVector;1;223;1;1;
4;2:Sort();4:COMPLETO;3;10;0;1:TVector;1;289;1;1;
5;2:Sort();4:COMPLETO;3;10;0;1:TVector;1;364;1;1;
6;2:Sort();4:COMPLETO;3;10;0;1:TVector;1;469;1;1;
7;2:Sort();4:COMPLETO;3;10;0;1:TVector;1;555;1;1;
8;2:Sort();4:COMPLETO;3;10;0;1:TVector;1;681;1;1;
9;2:Sort();4:COMPLETO;3;10;0;1:TVector;1;728;1;1;
10;2:Sort();4:COMPLETO;3;10;0;1:TVector;1;808;1;1;
1;2:Sort();4:COMPLETO;4;10;0;1:TVector;1;83;1;1;
2;2:Sort();4:COMPLETO;4;10;0;1:TVector;1;138;1;1;
3;2:Sort();4:COMPLETO;4;10;0;1:TVector;1;215;1;1;
4;2:Sort();4:COMPLETO;4;10;0;1:TVector;1;304;1;1;
5;2:Sort();4:COMPLETO;4;10;0;1:TVector;1;387;1;1;
6;2:Sort();4:COMPLETO;4;10;0;1:TVector;1;449;1;1;
7;2:Sort();4:COMPLETO;4;10;0;1:TVector;1;558;1;1;
8;2:Sort();4:COMPLETO;4;10;0;1:TVector;1;602;1;1;
9;2:Sort();4:COMPLETO;4;10;0;1:TVector;1;697;1;1;
10;2:Sort();4:COMPLETO;4;10;0;1:TVector;1;789;1;1;
1;2:Sort();4:COMPLETO;5;10;0;1:TVector;1;67;1;1;
2;2:Sort();4:COMPLETO;5;10;0;1:TVector;1;140;1;1;
3;2:Sort();4:COMPLETO;5;10;0;1:TVector;1;213;1;1;
4;2:Sort();4:COMPLETO;5;10;0;1:TVector;1;290;1;1;
5;2:Sort();4:COMPLETO;5;10;0;1:TVector;1;372;1;1;
6;2:Sort();4:COMPLETO;5;10;0;1:TVector;1;442;1;1;
7;2:Sort();4:COMPLETO;5;10;0;1:TVector;1;538;1;1;
8;2:Sort();4:COMPLETO;5;10;0;1:TVector;1;617;1;1;
9;2:Sort();4:COMPLETO;5;10;0;1:TVector;1;754;1;1;
10;2:Sort();4:COMPLETO;5;10;0;1:TVector;1;780;1;1;
1;2:Sort();4:COMPLETO;6;10;0;1:TVector;1;69;1;1;
2;2:Sort();4:COMPLETO;6;10;0;1:TVector;1;139;1;1;
3;2:Sort();4:COMPLETO;6;10;0;1:TVector;1;224;1;1;
4;2:Sort();4:COMPLETO;6;10;0;1:TVector;1;294;1;1;
5;2:Sort();4:COMPLETO;6;10;0;1:TVector;1;386;1;1;
6;2:Sort();4:COMPLETO;6;10;0;1:TVector;1;483;1;1;
7;2:Sort();4:COMPLETO;6;10;0;1:TVector;1;568;1;1;
8;2:Sort();4:COMPLETO;6;10;0;1:TVector;1;603;1;1;
9;2:Sort();4:COMPLETO;6;10;0;1:TVector;1;705;1;1;
10;2:Sort();4:COMPLETO;6;10;0;1:TVector;1;824;1;1;
1;2:Sort();4:COMPLETO;7;10;0;1:TVector;1;70;1;1;
2;2:Sort();4:COMPLETO;7;10;0;1:TVector;1;142;1;1;
3;2:Sort();4:COMPLETO;7;10;0;1:TVector;1;222;1;1;
4;2:Sort();4:COMPLETO;7;10;0;1:TVector;1;293;1;1;
5;2:Sort();4:COMPLETO;7;10;0;1:TVector;1;379;1;1;
6;2:Sort();4:COMPLETO;7;10;0;1:TVector;1;446;1;1;
7;2:Sort();4:COMPLETO;7;10;0;1:TVector;1;568;1;1;
8;2:Sort();4:COMPLETO;7;10;0;1:TVector;1;650;1;1;
9;2:Sort();4:COMPLETO;7;10;0;1:TVector;1;712;1;1;
10;2:Sort();4:COMPLETO;7;10;0;1:TVector;1;801;1;1;
1;2:Sort();4:COMPLETO;8;10;0;1:TVector;1;92;1;1;
2;2:Sort();4:COMPLETO;8;10;0;1:TVector;1;139;1;1;
3;2:Sort();4:COMPLETO;8;10;0;1:TVector;1;254;1;1;
4;2:Sort();4:COMPLETO;8;10;0;1:TVector;1;300;1;1;
5;2:Sort();4:COMPLETO;8;10;0;1:TVector;1;372;1;1;
6;2:Sort();4:COMPLETO;8;10;0;1:TVector;1;491;1;1;
7;2:Sort();4:COMPLETO;8;10;0;1:TVector;1;534;1;1;
8;2:Sort();4:COMPLETO;8;10;0;1:TVector;1;608;1;1;
9;2:Sort();4:COMPLETO;8;10;0;1:TVector;1;708;1;1;
10;2:Sort();4:COMPLETO;8;10;0;1:TVector;1;772;1;1;
1;2:Sort();4:COMPLETO;9;10;0;1:TVector;1;69;1;1;
2;2:Sort();4:COMPLETO;9;10;0;1:TVector;1;144;1;1;
3;2:Sort();4:COMPLETO;9;10;0;1:TVector;1;215;1;1;
4;2:Sort();4:COMPLETO;9;10;0;1:TVector;1;302;1;1;
5;2:Sort();4:COMPLETO;9;10;0;1:TVector;1;366;1;1;
6;2:Sort();4:COMPLETO;9;10;0;1:TVector;1;448;1;1;
7;2:Sort();4:COMPLETO;9;10;0;1:TVector;1;526;1;1;
8;2:Sort();4:COMPLETO;9;10;0;1:TVector;1;633;1;1;
9;2:Sort();4:COMPLETO;9;10;0;1:TVector;1;678;1;1;
10;2:Sort();4:COMPLETO;9;10;0;1:TVector;1;773;1;1;
1;2:Sort();4:COMPLETO;10;10;0;1:TVector;1;73;1;1;
2;2:Sort();4:COMPLETO;10;10;0;1:TVector;1;137;1;1;
3;2:Sort();4:COMPLETO;10;10;0;1:TVector;1;222;1;1;
4;2:Sort();4:COMPLETO;10;10;0;1:TVector;1;300;1;1;
5;2:Sort();4:COMPLETO;10;10;0;1:TVector;1;389;1;1;
6;2:Sort();4:COMPLETO;10;10;0;1:TVector;1;473;1;1;
7;2:Sort();4:COMPLETO;10;10;0;1:TVector;1;627;1;1;
8;2:Sort();4:COMPLETO;10;10;0;1:TVector;1;613;1;1;
9;2:Sort();4:COMPLETO;10;10;0;1:TVector;1;698;1;1;
10;2:Sort();4:COMPLETO;10;10;0;1:TVector;1;784;1;1;
