sep=;
Instância;P1(Método);P2(Debug);P3(Seed);P4(Tempo);P5(Iterações);P6(Estrutura);I1(Resultado);I2(Tempo(ms));I3(Iterações);I4(Ordenado);
1;Add();nada;1;10;0;TVector;1;249;1;0;
2;Add();nada;1;10;0;TVector;1;343;1;0;
1;Sort();nada;1;10;0;TVector;1;1078;1;1;
2;Sort();nada;1;10;0;TVector;1;2499;1;1;
1;RandomOrder();nada;1;10;0;TVector;1;88;1;0;
2;RandomOrder();nada;1;10;0;TVector;1;266;1;0;
1;Invert();nada;1;10;0;TVector;1;1;1;0;
2;Invert();nada;1;10;0;TVector;1;2;1;0;
1;BeASet();nada;1;10;0;TVector;1;1281;1;1;
2;BeASet();nada;1;10;0;TVector;1;2342;1;1;
1;Difference();nada;1;10;0;TVector;1;2524;1;1;
2;Difference();nada;1;10;0;TVector;1;5700;1;1;
1;Union();nada;1;10;0;TVector;1;2774;1;1;
2;Union();nada;1;10;0;TVector;1;6201;1;1;
1;Contained();nada;1;10;0;TVector;1;2385;1;1;
2;Contained();nada;1;10;0;TVector;1;4901;1;1;
1;Intersection();nada;1;10;0;TVector;1;2531;1;1;
2;Intersection();nada;1;10;0;TVector;1;4906;1;1;
1;operator=();nada;1;10;0;TVector;1;0;1;0;
2;operator=();nada;1;10;0;TVector;1;1;1;0;
1;operator+=();nada;1;10;0;TVector;1;0;1;0;
2;operator+=();nada;1;10;0;TVector;1;9;1;0;
1;nada;nada;1;10;0;TVector;1;0;1;0;
2;nada;nada;1;10;0;TVector;1;0;1;0;
1;Add();nada;1;10;0;std::vector;1;137;1;0;
2;Add();nada;1;10;0;std::vector;1;234;1;0;
1;Sort();nada;1;10;0;std::vector;1;1249;1;1;
2;Sort();nada;1;10;0;std::vector;1;2985;1;1;
1;RandomOrder();nada;1;10;0;std::vector;1;95;1;0;
2;RandomOrder();nada;1;10;0;std::vector;1;232;1;0;
1;Invert();nada;1;10;0;std::vector;1;1;1;0;
2;Invert();nada;1;10;0;std::vector;1;2;1;0;
1;BeASet();nada;1;10;0;std::vector;1;1196;1;1;
2;BeASet();nada;1;10;0;std::vector;1;2583;1;1;
1;Difference();nada;1;10;0;std::vector;1;1375;1;1;
2;Difference();nada;1;10;0;std::vector;1;2952;1;1;
1;Union();nada;1;10;0;std::vector;1;1657;1;1;
2;Union();nada;1;10;0;std::vector;1;2936;1;1;
1;Contained();nada;1;10;0;std::vector;1;1231;1;1;
2;Contained();nada;1;10;0;std::vector;1;2600;1;1;
1;Intersection();nada;1;10;0;std::vector;1;1324;1;1;
2;Intersection();nada;1;10;0;std::vector;1;2667;1;1;
1;operator=();nada;1;10;0;std::vector;1;0;1;0;
2;operator=();nada;1;10;0;std::vector;1;0;1;0;
1;operator+=();nada;1;10;0;std::vector;1;0;1;0;
2;operator+=();nada;1;10;0;std::vector;1;5;1;0;
1;nada;nada;1;10;0;std::vector;1;0;1;0;
2;nada;nada;1;10;0;std::vector;1;0;1;0;
