sep=;
Instância;P1(Método);P2(Debug);P3(Seed);P4(Tempo);P5(Iterações);P6(Estrutura);I1(Resultado);I2(Tempo(ms));I3(Iterações);I4(Ordenado);
1;1:Add();0:nada;1;10;0;1:TVector;1;4;1;0;
3;1:Add();0:nada;1;10;0;1:TVector;1;11;1;0;
1;2:Sort();0:nada;1;10;0;1:TVector;1;65;1;1;
3;2:Sort();0:nada;1;10;0;1:TVector;1;214;1;1;
1;3:RandomOrder();0:nada;1;10;0;1:TVector;1;7;1;0;
3;3:RandomOrder();0:nada;1;10;0;1:TVector;1;28;1;0;
1;4:Invert();0:nada;1;10;0;1:TVector;1;1;1;0;
3;4:Invert();0:nada;1;10;0;1:TVector;1;2;1;0;
1;5:BeASet();0:nada;1;10;0;1:TVector;1;66;1;1;
3;5:BeASet();0:nada;1;10;0;1:TVector;1;217;1;1;
1;6:Difference();0:nada;1;10;0;1:TVector;1;152;1;1;
3;6:Difference();0:nada;1;10;0;1:TVector;1;471;1;1;
1;7:Union();0:nada;1;10;0;1:TVector;1;218;1;1;
3;7:Union();0:nada;1;10;0;1:TVector;1;789;1;1;
1;8:Contained();0:nada;1;10;0;1:TVector;1;137;1;1;
3;8:Contained();0:nada;1;10;0;1:TVector;1;477;1;1;
1;9:Intersection();0:nada;1;10;0;1:TVector;1;189;1;1;
3;9:Intersection();0:nada;1;10;0;1:TVector;1;501;1;1;
1;10:operator=();0:nada;1;10;0;1:TVector;1;1;1;0;
3;10:operator=();0:nada;1;10;0;1:TVector;1;3;1;0;
1;11:operator+=();0:nada;1;10;0;1:TVector;1;0;1;0;
3;11:operator+=();0:nada;1;10;0;1:TVector;1;4;1;0;
1;12:nada;0:nada;1;10;0;1:TVector;1;0;1;0;
3;12:nada;0:nada;1;10;0;1:TVector;1;0;1;0;
1;1:Add();0:nada;2;10;0;1:TVector;1;3;1;0;
3;1:Add();0:nada;2;10;0;1:TVector;1;10;1;0;
1;2:Sort();0:nada;2;10;0;1:TVector;1;99;1;1;
3;2:Sort();0:nada;2;10;0;1:TVector;1;236;1;1;
1;3:RandomOrder();0:nada;2;10;0;1:TVector;1;7;1;0;
3;3:RandomOrder();0:nada;2;10;0;1:TVector;1;41;1;0;
1;4:Invert();0:nada;2;10;0;1:TVector;1;1;1;0;
3;4:Invert();0:nada;2;10;0;1:TVector;1;4;1;0;
1;5:BeASet();0:nada;2;10;0;1:TVector;1;80;1;1;
3;5:BeASet();0:nada;2;10;0;1:TVector;1;249;1;1;
1;6:Difference();0:nada;2;10;0;1:TVector;1;143;1;1;
3;6:Difference();0:nada;2;10;0;1:TVector;1;472;1;1;
1;7:Union();0:nada;2;10;0;1:TVector;1;212;1;1;
3;7:Union();0:nada;2;10;0;1:TVector;1;688;1;1;
1;8:Contained();0:nada;2;10;0;1:TVector;1;135;1;1;
3;8:Contained();0:nada;2;10;0;1:TVector;1;432;1;1;
1;9:Intersection();0:nada;2;10;0;1:TVector;1;145;1;1;
3;9:Intersection();0:nada;2;10;0;1:TVector;1;467;1;1;
1;10:operator=();0:nada;2;10;0;1:TVector;1;0;1;0;
3;10:operator=();0:nada;2;10;0;1:TVector;1;2;1;0;
1;11:operator+=();0:nada;2;10;0;1:TVector;1;1;1;0;
3;11:operator+=();0:nada;2;10;0;1:TVector;1;2;1;0;
1;12:nada;0:nada;2;10;0;1:TVector;1;0;1;0;
3;12:nada;0:nada;2;10;0;1:TVector;1;0;1;0;
1;1:Add();0:nada;3;10;0;1:TVector;1;4;1;0;
3;1:Add();0:nada;3;10;0;1:TVector;1;11;1;0;
1;2:Sort();0:nada;3;10;0;1:TVector;1;66;1;1;
3;2:Sort();0:nada;3;10;0;1:TVector;1;214;1;1;
1;3:RandomOrder();0:nada;3;10;0;1:TVector;1;7;1;0;
3;3:RandomOrder();0:nada;3;10;0;1:TVector;1;31;1;0;
1;4:Invert();0:nada;3;10;0;1:TVector;1;1;1;0;
3;4:Invert();0:nada;3;10;0;1:TVector;1;2;1;0;
1;5:BeASet();0:nada;3;10;0;1:TVector;1;66;1;1;
3;5:BeASet();0:nada;3;10;0;1:TVector;1;233;1;1;
1;6:Difference();0:nada;3;10;0;1:TVector;1;140;1;1;
3;6:Difference();0:nada;3;10;0;1:TVector;1;461;1;1;
1;7:Union();0:nada;3;10;0;1:TVector;1;227;1;1;
3;7:Union();0:nada;3;10;0;1:TVector;1;731;1;1;
1;8:Contained();0:nada;3;10;0;1:TVector;1;132;1;1;
3;8:Contained();0:nada;3;10;0;1:TVector;1;451;1;1;
1;9:Intersection();0:nada;3;10;0;1:TVector;1;144;1;1;
3;9:Intersection();0:nada;3;10;0;1:TVector;1;484;1;1;
1;10:operator=();0:nada;3;10;0;1:TVector;1;1;1;0;
3;10:operator=();0:nada;3;10;0;1:TVector;1;2;1;0;
1;11:operator+=();0:nada;3;10;0;1:TVector;1;1;1;0;
3;11:operator+=();0:nada;3;10;0;1:TVector;1;2;1;0;
1;12:nada;0:nada;3;10;0;1:TVector;1;0;1;0;
3;12:nada;0:nada;3;10;0;1:TVector;1;0;1;0;
1;1:Add();0:nada;4;10;0;1:TVector;1;3;1;0;
3;1:Add();0:nada;4;10;0;1:TVector;1;14;1;0;
1;2:Sort();0:nada;4;10;0;1:TVector;1;66;1;1;
3;2:Sort();0:nada;4;10;0;1:TVector;1;243;1;1;
1;3:RandomOrder();0:nada;4;10;0;1:TVector;1;7;1;0;
3;3:RandomOrder();0:nada;4;10;0;1:TVector;1;29;1;0;
1;4:Invert();0:nada;4;10;0;1:TVector;1;0;1;0;
3;4:Invert();0:nada;4;10;0;1:TVector;1;1;1;0;
1;5:BeASet();0:nada;4;10;0;1:TVector;1;66;1;1;
3;5:BeASet();0:nada;4;10;0;1:TVector;1;248;1;1;
1;6:Difference();0:nada;4;10;0;1:TVector;1;141;1;1;
3;6:Difference();0:nada;4;10;0;1:TVector;1;501;1;1;
1;7:Union();0:nada;4;10;0;1:TVector;1;219;1;1;
3;7:Union();0:nada;4;10;0;1:TVector;1;690;1;1;
1;8:Contained();0:nada;4;10;0;1:TVector;1;140;1;1;
3;8:Contained();0:nada;4;10;0;1:TVector;1;427;1;1;
1;9:Intersection();0:nada;4;10;0;1:TVector;1;153;1;1;
3;9:Intersection();0:nada;4;10;0;1:TVector;1;480;1;1;
1;10:operator=();0:nada;4;10;0;1:TVector;1;1;1;0;
3;10:operator=();0:nada;4;10;0;1:TVector;1;2;1;0;
1;11:operator+=();0:nada;4;10;0;1:TVector;1;1;1;0;
3;11:operator+=();0:nada;4;10;0;1:TVector;1;2;1;0;
1;12:nada;0:nada;4;10;0;1:TVector;1;0;1;0;
3;12:nada;0:nada;4;10;0;1:TVector;1;0;1;0;
1;1:Add();0:nada;5;10;0;1:TVector;1;4;1;0;
3;1:Add();0:nada;5;10;0;1:TVector;1;10;1;0;
1;2:Sort();0:nada;5;10;0;1:TVector;1;67;1;1;
3;2:Sort();0:nada;5;10;0;1:TVector;1;214;1;1;
1;3:RandomOrder();0:nada;5;10;0;1:TVector;1;6;1;0;
3;3:RandomOrder();0:nada;5;10;0;1:TVector;1;29;1;0;
1;4:Invert();0:nada;5;10;0;1:TVector;1;0;1;0;
3;4:Invert();0:nada;5;10;0;1:TVector;1;1;1;0;
1;5:BeASet();0:nada;5;10;0;1:TVector;1;67;1;1;
3;5:BeASet();0:nada;5;10;0;1:TVector;1;227;1;1;
1;6:Difference();0:nada;5;10;0;1:TVector;1;143;1;1;
