sep=;
Instância;P1(Método);P2(Debug);P3(Seed);P4(Tempo);P5(Iterações);P6(Estrutura);I1(Resultado);I2(Tempo(ms));I3(Iterações);I4(Ordenado);
1;2:Sort();0:nada;1;10;0;1:TVector;1;87;1;1;
2;2:Sort();0:nada;1;10;0;1:TVector;1;266;1;1;
3;2:Sort();0:nada;1;10;0;1:TVector;1;345;1;1;
4;2:Sort();0:nada;1;10;0;1:TVector;1;514;1;1;
5;2:Sort();0:nada;1;10;0;1:TVector;1;710;1;1;
6;2:Sort();0:nada;1;10;0;1:TVector;1;848;1;1;
7;2:Sort();0:nada;1;10;0;1:TVector;1;858;1;1;
8;2:Sort();0:nada;1;10;0;1:TVector;1;1292;1;1;
9;2:Sort();0:nada;1;10;0;1:TVector;1;1562;1;1;
10;2:Sort();0:nada;1;10;0;1:TVector;1;1250;1;1;
1;2:Sort();0:nada;2;10;0;1:TVector;1;121;1;1;
2;2:Sort();0:nada;2;10;0;1:TVector;1;244;1;1;
3;2:Sort();0:nada;2;10;0;1:TVector;1;410;1;1;
4;2:Sort();0:nada;2;10;0;1:TVector;1;484;1;1;
5;2:Sort();0:nada;2;10;0;1:TVector;1;607;1;1;
6;2:Sort();0:nada;2;10;0;1:TVector;1;633;1;1;
7;2:Sort();0:nada;2;10;0;1:TVector;1;1149;1;1;
8;2:Sort();0:nada;2;10;0;1:TVector;1;1253;1;1;
9;2:Sort();0:nada;2;10;0;1:TVector;1;1325;1;1;
10;2:Sort();0:nada;2;10;0;1:TVector;1;1347;1;1;
1;2:Sort();0:nada;3;10;0;1:TVector;1;148;1;1;
2;2:Sort();0:nada;3;10;0;1:TVector;1;198;1;1;
3;2:Sort();0:nada;3;10;0;1:TVector;1;344;1;1;
4;2:Sort();0:nada;3;10;0;1:TVector;1;350;1;1;
5;2:Sort();0:nada;3;10;0;1:TVector;1;400;1;1;
6;2:Sort();0:nada;3;10;0;1:TVector;1;609;1;1;
7;2:Sort();0:nada;3;10;0;1:TVector;1;633;1;1;
8;2:Sort();0:nada;3;10;0;1:TVector;1;626;1;1;
9;2:Sort();0:nada;3;10;0;1:TVector;1;720;1;1;
10;2:Sort();0:nada;3;10;0;1:TVector;1;798;1;1;
1;2:Sort();0:nada;4;10;0;1:TVector;1;69;1;1;
2;2:Sort();0:nada;4;10;0;1:TVector;1;150;1;1;
3;2:Sort();0:nada;4;10;0;1:TVector;1;224;1;1;
4;2:Sort();0:nada;4;10;0;1:TVector;1;302;1;1;
5;2:Sort();0:nada;4;10;0;1:TVector;1;375;1;1;
6;2:Sort();0:nada;4;10;0;1:TVector;1;458;1;1;
7;2:Sort();0:nada;4;10;0;1:TVector;1;584;1;1;
8;2:Sort();0:nada;4;10;0;1:TVector;1;659;1;1;
9;2:Sort();0:nada;4;10;0;1:TVector;1;704;1;1;
10;2:Sort();0:nada;4;10;0;1:TVector;1;792;1;1;
1;2:Sort();0:nada;5;10;0;1:TVector;1;72;1;1;
2;2:Sort();0:nada;5;10;0;1:TVector;1;142;1;1;
3;2:Sort();0:nada;5;10;0;1:TVector;1;231;1;1;
4;2:Sort();0:nada;5;10;0;1:TVector;1;295;1;1;
5;2:Sort();0:nada;5;10;0;1:TVector;1;378;1;1;
6;2:Sort();0:nada;5;10;0;1:TVector;1;469;1;1;
7;2:Sort();0:nada;5;10;0;1:TVector;1;720;1;1;
8;2:Sort();0:nada;5;10;0;1:TVector;1;647;1;1;
9;2:Sort();0:nada;5;10;0;1:TVector;1;757;1;1;
10;2:Sort();0:nada;5;10;0;1:TVector;1;806;1;1;
1;2:Sort();0:nada;6;10;0;1:TVector;1;70;1;1;
2;2:Sort();0:nada;6;10;0;1:TVector;1;143;1;1;
3;2:Sort();0:nada;6;10;0;1:TVector;1;217;1;1;
4;2:Sort();0:nada;6;10;0;1:TVector;1;312;1;1;
