sep=;
Instância;P1(Método);P2(NIVEL_DEBUG);P3(SEMENTE);P4(LIMITE_TEMPO);P5(LIMITE_ITERACOES);P6(ESTRUTURA_DADOS);I1(Resultado);I2(Tempo(ms));I3(Iterações);I4(IND_ORDENAR);
1;2:Sort();2:PASSOS;1;10;0;1:TVector;1;141;1;1;
5;2:Sort();2:PASSOS;1;10;0;1:TVector;1;656;1;1;
9;2:Sort();2:PASSOS;1;10;0;1:TVector;1;1338;1;1;
3;2:Sort();2:PASSOS;2;10;0;1:TVector;1;308;1;1;
7;2:Sort();2:PASSOS;2;10;0;1:TVector;1;621;1;1;
1;2:Sort();2:PASSOS;3;10;0;1:TVector;1;87;1;1;
5;2:Sort();2:PASSOS;3;10;0;1:TVector;1;500;1;1;
9;2:Sort();2:PASSOS;3;10;0;1:TVector;1;823;1;1;
3;2:Sort();2:PASSOS;4;10;0;1:TVector;1;252;1;1;
7;2:Sort();2:PASSOS;4;10;0;1:TVector;1;623;1;1;
1;2:Sort();2:PASSOS;5;10;0;1:TVector;1;74;1;1;
5;2:Sort();2:PASSOS;5;10;0;1:TVector;1;444;1;1;
9;2:Sort();2:PASSOS;5;10;0;1:TVector;1;863;1;1;
3;2:Sort();2:PASSOS;6;10;0;1:TVector;1;377;1;1;
7;2:Sort();2:PASSOS;6;10;0;1:TVector;1;832;1;1;
1;2:Sort();2:PASSOS;7;10;0;1:TVector;1;101;1;1;
5;2:Sort();2:PASSOS;7;10;0;1:TVector;1;554;1;1;
9;2:Sort();2:PASSOS;7;10;0;1:TVector;1;1091;1;1;
3;2:Sort();2:PASSOS;8;10;0;1:TVector;1;317;1;1;
7;2:Sort();2:PASSOS;8;10;0;1:TVector;1;798;1;1;
1;2:Sort();2:PASSOS;9;10;0;1:TVector;1;105;1;1;
5;2:Sort();2:PASSOS;9;10;0;1:TVector;1;584;1;1;
9;2:Sort();2:PASSOS;9;10;0;1:TVector;1;1054;1;1;
3;2:Sort();2:PASSOS;10;10;0;1:TVector;1;307;1;1;
7;2:Sort();2:PASSOS;10;10;0;1:TVector;1;856;1;1;
2;2:Sort();2:PASSOS;1;10;0;1:TVector;1;306;1;1;
6;2:Sort();2:PASSOS;1;10;0;1:TVector;1;725;1;1;
10;2:Sort();2:PASSOS;1;10;0;1:TVector;1;1327;1;1;
4;2:Sort();2:PASSOS;2;10;0;1:TVector;1;362;1;1;
8;2:Sort();2:PASSOS;2;10;0;1:TVector;1;770;1;1;
2;2:Sort();2:PASSOS;3;10;0;1:TVector;1;183;1;1;
6;2:Sort();2:PASSOS;3;10;0;1:TVector;1;550;1;1;
10;2:Sort();2:PASSOS;3;10;0;1:TVector;1;927;1;1;
4;2:Sort();2:PASSOS;4;10;0;1:TVector;1;320;1;1;
8;2:Sort();2:PASSOS;4;10;0;1:TVector;1;709;1;1;
2;2:Sort();2:PASSOS;5;10;0;1:TVector;1;163;1;1;
6;2:Sort();2:PASSOS;5;10;0;1:TVector;1;684;1;1;
10;2:Sort();2:PASSOS;5;10;0;1:TVector;1;1206;1;1;
4;2:Sort();2:PASSOS;6;10;0;1:TVector;1;477;1;1;
8;2:Sort();2:PASSOS;6;10;0;1:TVector;1;951;1;1;
2;2:Sort();2:PASSOS;7;10;0;1:TVector;1;215;1;1;
6;2:Sort();2:PASSOS;7;10;0;1:TVector;1;702;1;1;
10;2:Sort();2:PASSOS;7;10;0;1:TVector;1;1162;1;1;
4;2:Sort();2:PASSOS;8;10;0;1:TVector;1;493;1;1;
8;2:Sort();2:PASSOS;8;10;0;1:TVector;1;980;1;1;
2;2:Sort();2:PASSOS;9;10;0;1:TVector;1;200;1;1;
6;2:Sort();2:PASSOS;9;10;0;1:TVector;1;904;1;1;
10;2:Sort();2:PASSOS;9;10;0;1:TVector;1;1529;1;1;
4;2:Sort();2:PASSOS;10;10;0;1:TVector;1;593;1;1;
8;2:Sort();2:PASSOS;10;10;0;1:TVector;1;1491;1;1;
3;2:Sort();2:PASSOS;1;10;0;1:TVector;1;436;1;1;
7;2:Sort();2:PASSOS;1;10;0;1:TVector;1;756;1;1;
1;2:Sort();2:PASSOS;2;10;0;1:TVector;1;108;1;1;
5;2:Sort();2:PASSOS;2;10;0;1:TVector;1;624;1;1;
9;2:Sort();2:PASSOS;2;10;0;1:TVector;1;862;1;1;
3;2:Sort();2:PASSOS;3;10;0;1:TVector;1;269;1;1;
7;2:Sort();2:PASSOS;3;10;0;1:TVector;1;666;1;1;
1;2:Sort();2:PASSOS;4;10;0;1:TVector;1;81;1;1;
5;2:Sort();2:PASSOS;4;10;0;1:TVector;1;431;1;1;
9;2:Sort();2:PASSOS;4;10;0;1:TVector;1;832;1;1;
3;2:Sort();2:PASSOS;5;10;0;1:TVector;1;240;1;1;
7;2:Sort();2:PASSOS;5;10;0;1:TVector;1;614;1;1;
1;2:Sort();2:PASSOS;6;10;0;1:TVector;1;73;1;1;
5;2:Sort();2:PASSOS;6;10;0;1:TVector;1;484;1;1;
9;2:Sort();2:PASSOS;6;10;0;1:TVector;1;1172;1;1;
3;2:Sort();2:PASSOS;7;10;0;1:TVector;1;327;1;1;
7;2:Sort();2:PASSOS;7;10;0;1:TVector;1;811;1;1;
1;2:Sort();2:PASSOS;8;10;0;1:TVector;1;101;1;1;
5;2:Sort();2:PASSOS;8;10;0;1:TVector;1;581;1;1;
9;2:Sort();2:PASSOS;8;10;0;1:TVector;1;1080;1;1;
3;2:Sort();2:PASSOS;9;10;0;1:TVector;1;323;1;1;
