sep=;
Instância;P1(Método);P2(Debug);P3(Seed);P4(Tempo);P5(Iterações);P6(Estrutura);I1(Resultado);I2(Tempo(ms));I3(Iterações);I4(Ordenado);
1;2:Sort();0:nada;1;10;0;1:TVector;1;73;1;1;
2;2:Sort();0:nada;1;10;0;1:TVector;1;154;1;1;
3;2:Sort();0:nada;1;10;0;1:TVector;1;250;1;1;
4;2:Sort();0:nada;1;10;0;1:TVector;1;338;1;1;
5;2:Sort();0:nada;1;10;0;1:TVector;1;418;1;1;
6;2:Sort();0:nada;1;10;0;1:TVector;1;493;1;1;
7;2:Sort();0:nada;1;10;0;1:TVector;1;815;1;1;
8;2:Sort();0:nada;1;10;0;1:TVector;1;824;1;1;
9;2:Sort();0:nada;1;10;0;1:TVector;1;831;1;1;
10;2:Sort();0:nada;1;10;0;1:TVector;1;936;1;1;
1;2:Sort();0:nada;2;10;0;1:TVector;1;72;1;1;
2;2:Sort();0:nada;2;10;0;1:TVector;1;158;1;1;
3;2:Sort();0:nada;2;10;0;1:TVector;1;256;1;1;
4;2:Sort();0:nada;2;10;0;1:TVector;1;334;1;1;
5;2:Sort();0:nada;2;10;0;1:TVector;1;436;1;1;
6;2:Sort();0:nada;2;10;0;1:TVector;1;550;1;1;
7;2:Sort();0:nada;2;10;0;1:TVector;1;879;1;1;
8;2:Sort();0:nada;2;10;0;1:TVector;1;779;1;1;
9;2:Sort();0:nada;2;10;0;1:TVector;1;892;1;1;
10;2:Sort();0:nada;2;10;0;1:TVector;1;984;1;1;
1;2:Sort();0:nada;3;10;0;1:TVector;1;77;1;1;
2;2:Sort();0:nada;3;10;0;1:TVector;1;170;1;1;
3;2:Sort();0:nada;3;10;0;1:TVector;1;263;1;1;
4;2:Sort();0:nada;3;10;0;1:TVector;1;352;1;1;
5;2:Sort();0:nada;3;10;0;1:TVector;1;478;1;1;
6;2:Sort();0:nada;3;10;0;1:TVector;1;683;1;1;
7;2:Sort();0:nada;3;10;0;1:TVector;1;705;1;1;
8;2:Sort();0:nada;3;10;0;1:TVector;1;931;1;1;
9;2:Sort();0:nada;3;10;0;1:TVector;1;993;1;1;
10;2:Sort();0:nada;3;10;0;1:TVector;1;1120;1;1;
1;2:Sort();0:nada;4;10;0;1:TVector;1;94;1;1;
2;2:Sort();0:nada;4;10;0;1:TVector;1;168;1;1;
3;2:Sort();0:nada;4;10;0;1:TVector;1;316;1;1;
4;2:Sort();0:nada;4;10;0;1:TVector;1;404;1;1;
5;2:Sort();0:nada;4;10;0;1:TVector;1;544;1;1;
6;2:Sort();0:nada;4;10;0;1:TVector;1;601;1;1;
7;2:Sort();0:nada;4;10;0;1:TVector;1;695;1;1;
8;2:Sort();0:nada;4;10;0;1:TVector;1;755;1;1;
9;2:Sort();0:nada;4;10;0;1:TVector;1;993;1;1;
10;2:Sort();0:nada;4;10;0;1:TVector;1;1106;1;1;
1;2:Sort();0:nada;5;10;0;1:TVector;1;84;1;1;
2;2:Sort();0:nada;5;10;0;1:TVector;1;256;1;1;
3;2:Sort();0:nada;5;10;0;1:TVector;1;260;1;1;
4;2:Sort();0:nada;5;10;0;1:TVector;1;363;1;1;
5;2:Sort();0:nada;5;10;0;1:TVector;1;510;1;1;
6;2:Sort();0:nada;5;10;0;1:TVector;1;604;1;1;
7;2:Sort();0:nada;5;10;0;1:TVector;1;657;1;1;
8;2:Sort();0:nada;5;10;0;1:TVector;1;968;1;1;
9;2:Sort();0:nada;5;10;0;1:TVector;1;901;1;1;
10;2:Sort();0:nada;5;10;0;1:TVector;1;982;1;1;
1;2:Sort();0:nada;6;10;0;1:TVector;1;73;1;1;
2;2:Sort();0:nada;6;10;0;1:TVector;1;177;1;1;
3;2:Sort();0:nada;6;10;0;1:TVector;1;283;1;1;
4;2:Sort();0:nada;6;10;0;1:TVector;1;459;1;1;
5;2:Sort();0:nada;6;10;0;1:TVector;1;440;1;1;
6;2:Sort();0:nada;6;10;0;1:TVector;1;552;1;1;
7;2:Sort();0:nada;6;10;0;1:TVector;1;664;1;1;
8;2:Sort();0:nada;6;10;0;1:TVector;1;891;1;1;
9;2:Sort();0:nada;6;10;0;1:TVector;1;880;1;1;
10;2:Sort();0:nada;6;10;0;1:TVector;1;943;1;1;
1;2:Sort();0:nada;7;10;0;1:TVector;1;81;1;1;
2;2:Sort();0:nada;7;10;0;1:TVector;1;184;1;1;
3;2:Sort();0:nada;7;10;0;1:TVector;1;263;1;1;
4;2:Sort();0:nada;7;10;0;1:TVector;1;355;1;1;
5;2:Sort();0:nada;7;10;0;1:TVector;1;481;1;1;
6;2:Sort();0:nada;7;10;0;1:TVector;1;599;1;1;
7;2:Sort();0:nada;7;10;0;1:TVector;1;714;1;1;
8;2:Sort();0:nada;7;10;0;1:TVector;1;757;1;1;
9;2:Sort();0:nada;7;10;0;1:TVector;1;876;1;1;
10;2:Sort();0:nada;7;10;0;1:TVector;1;994;1;1;
1;2:Sort();0:nada;8;10;0;1:TVector;1;81;1;1;
2;2:Sort();0:nada;8;10;0;1:TVector;1;164;1;1;
3;2:Sort();0:nada;8;10;0;1:TVector;1;252;1;1;
4;2:Sort();0:nada;8;10;0;1:TVector;1;354;1;1;
5;2:Sort();0:nada;8;10;0;1:TVector;1;494;1;1;
6;2:Sort();0:nada;8;10;0;1:TVector;1;578;1;1;
7;2:Sort();0:nada;8;10;0;1:TVector;1;711;1;1;
8;2:Sort();0:nada;8;10;0;1:TVector;1;742;1;1;
9;2:Sort();0:nada;8;10;0;1:TVector;1;829;1;1;
10;2:Sort();0:nada;8;10;0;1:TVector;1;1008;1;1;
1;2:Sort();0:nada;9;10;0;1:TVector;1;82;1;1;
2;2:Sort();0:nada;9;10;0;1:TVector;1;225;1;1;
3;2:Sort();0:nada;9;10;0;1:TVector;1;272;1;1;
4;2:Sort();0:nada;9;10;0;1:TVector;1;430;1;1;
5;2:Sort();0:nada;9;10;0;1:TVector;1;445;1;1;
6;2:Sort();0:nada;9;10;0;1:TVector;1;538;1;1;
7;2:Sort();0:nada;9;10;0;1:TVector;1;658;1;1;
8;2:Sort();0:nada;9;10;0;1:TVector;1;738;1;1;
9;2:Sort();0:nada;9;10;0;1:TVector;1;902;1;1;
10;2:Sort();0:nada;9;10;0;1:TVector;1;1031;1;1;
1;2:Sort();0:nada;10;10;0;1:TVector;1;84;1;1;
2;2:Sort();0:nada;10;10;0;1:TVector;1;182;1;1;
3;2:Sort();0:nada;10;10;0;1:TVector;1;273;1;1;
4;2:Sort();0:nada;10;10;0;1:TVector;1;394;1;1;
5;2:Sort();0:nada;10;10;0;1:TVector;1;469;1;1;
6;2:Sort();0:nada;10;10;0;1:TVector;1;566;1;1;
7;2:Sort();0:nada;10;10;0;1:TVector;1;708;1;1;
8;2:Sort();0:nada;10;10;0;1:TVector;1;749;1;1;
9;2:Sort();0:nada;10;10;0;1:TVector;1;1085;1;1;
10;2:Sort();0:nada;10;10;0;1:TVector;1;1320;1;1;
