sep=;
Instância;P1(Método);P2(Debug);P3(Seed);P4(Tempo);P5(Iterações);P6(Estrutura);I1(Resultado);I2(Tempo(ms));I3(Iterações);I4(Ordenado);
10;2:Sort();0:nada;1;10;0;1:TVector;1;879;1;1;
10;2:Sort();0:nada;2;10;0;1:TVector;1;887;1;1;
10;2:Sort();0:nada;3;10;0;1:TVector;1;904;1;1;
10;2:Sort();0:nada;4;10;0;1:TVector;1;970;1;1;
10;2:Sort();0:nada;5;10;0;1:TVector;1;880;1;1;
10;2:Sort();0:nada;6;10;0;1:TVector;1;905;1;1;
10;2:Sort();0:nada;7;10;0;1:TVector;1;872;1;1;
10;2:Sort();0:nada;8;10;0;1:TVector;1;899;1;1;
10;2:Sort();0:nada;9;10;0;1:TVector;1;917;1;1;
10;2:Sort();0:nada;10;10;0;1:TVector;1;864;1;1;
10;2:Sort();0:nada;1;10;0;2:std::vector;1;905;1;1;
10;2:Sort();0:nada;2;10;0;2:std::vector;1;894;1;1;
10;2:Sort();0:nada;3;10;0;2:std::vector;1;875;1;1;
10;2:Sort();0:nada;4;10;0;2:std::vector;1;884;1;1;
10;2:Sort();0:nada;5;10;0;2:std::vector;1;873;1;1;
10;2:Sort();0:nada;6;10;0;2:std::vector;1;862;1;1;
10;2:Sort();0:nada;7;10;0;2:std::vector;1;916;1;1;
10;2:Sort();0:nada;8;10;0;2:std::vector;1;919;1;1;
10;2:Sort();0:nada;9;10;0;2:std::vector;1;929;1;1;
10;2:Sort();0:nada;10;10;0;2:std::vector;1;862;1;1;
10;2:Sort();0:nada;1;10;0;3:TVector/std::algorithm;1;924;1;1;
10;2:Sort();0:nada;2;10;0;3:TVector/std::algorithm;1;894;1;1;
10;2:Sort();0:nada;3;10;0;3:TVector/std::algorithm;1;910;1;1;
10;2:Sort();0:nada;4;10;0;3:TVector/std::algorithm;1;893;1;1;
10;2:Sort();0:nada;5;10;0;3:TVector/std::algorithm;1;885;1;1;
10;2:Sort();0:nada;6;10;0;3:TVector/std::algorithm;1;864;1;1;
10;2:Sort();0:nada;7;10;0;3:TVector/std::algorithm;1;896;1;1;
10;2:Sort();0:nada;8;10;0;3:TVector/std::algorithm;1;875;1;1;
10;2:Sort();0:nada;9;10;0;3:TVector/std::algorithm;1;883;1;1;
10;2:Sort();0:nada;10;10;0;3:TVector/std::algorithm;1;954;1;1;
