sep=;
Instância;P1(Método);P2(Debug);P3(Seed);P4(Tempo);P5(Iterações);P6(Estrutura);I1(Resultado);I2(Tempo(ms));I3(Iterações);I4(Ordenado);
1;1:Add();0:nada;1;10;0;1:TVector;1;3;1;0;
3;1:Add();0:nada;1;10;0;1:TVector;1;9;1;0;
1;2:Sort();0:nada;1;10;0;1:TVector;1;73;1;1;
3;2:Sort();0:nada;1;10;0;1:TVector;1;240;1;1;
1;3:RandomOrder();0:nada;1;10;0;1:TVector;1;12;1;0;
3;3:RandomOrder();0:nada;1;10;0;1:TVector;1;39;1;0;
1;4:Invert();0:nada;1;10;0;1:TVector;1;0;1;0;
3;4:Invert();0:nada;1;10;0;1:TVector;1;1;1;0;
1;5:BeASet();0:nada;1;10;0;1:TVector;1;75;1;1;
3;5:BeASet();0:nada;1;10;0;1:TVector;1;249;1;1;
1;6:Difference();0:nada;1;10;0;1:TVector;1;161;1;1;
3;6:Difference();0:nada;1;10;0;1:TVector;1;628;1;1;
1;7:Union();0:nada;1;10;0;1:TVector;1;204;1;1;
3;7:Union();0:nada;1;10;0;1:TVector;1;560;1;1;
1;8:Contained();0:nada;1;10;0;1:TVector;1;164;1;1;
3;8:Contained();0:nada;1;10;0;1:TVector;1;499;1;1;
1;9:Intersection();0:nada;1;10;0;1:TVector;1;212;1;1;
3;9:Intersection();0:nada;1;10;0;1:TVector;1;642;1;1;
1;10:operator=();0:nada;1;10;0;1:TVector;1;0;1;0;
3;10:operator=();0:nada;1;10;0;1:TVector;1;2;1;0;
1;11:operator+=();0:nada;1;10;0;1:TVector;1;1;1;0;
3;11:operator+=();0:nada;1;10;0;1:TVector;1;6;1;0;
1;12:nada;0:nada;1;10;0;1:TVector;1;0;1;0;
3;12:nada;0:nada;1;10;0;1:TVector;1;0;1;0;
1;1:Add();0:nada;2;10;0;1:TVector;1;3;1;0;
3;1:Add();0:nada;2;10;0;1:TVector;1;10;1;0;
1;2:Sort();0:nada;2;10;0;1:TVector;1;163;1;1;
3;2:Sort();0:nada;2;10;0;1:TVector;1;320;1;1;
1;3:RandomOrder();0:nada;2;10;0;1:TVector;1;14;1;0;
3;3:RandomOrder();0:nada;2;10;0;1:TVector;1;69;1;0;
1;4:Invert();0:nada;2;10;0;1:TVector;1;1;1;0;
3;4:Invert();0:nada;2;10;0;1:TVector;1;4;1;0;
1;5:BeASet();0:nada;2;10;0;1:TVector;1;106;1;1;
3;5:BeASet();0:nada;2;10;0;1:TVector;1;264;1;1;
1;6:Difference();0:nada;2;10;0;1:TVector;1;164;1;1;
3;6:Difference();0:nada;2;10;0;1:TVector;1;563;1;1;
1;7:Union();0:nada;2;10;0;1:TVector;1;232;1;1;
3;7:Union();0:nada;2;10;0;1:TVector;1;597;1;1;
1;8:Contained();0:nada;2;10;0;1:TVector;1;163;1;1;
3;8:Contained();0:nada;2;10;0;1:TVector;1;538;1;1;
1;9:Intersection();0:nada;2;10;0;1:TVector;1;244;1;1;
3;9:Intersection();0:nada;2;10;0;1:TVector;1;594;1;1;
1;10:operator=();0:nada;2;10;0;1:TVector;1;0;1;0;
3;10:operator=();0:nada;2;10;0;1:TVector;1;1;1;0;
1;11:operator+=();0:nada;2;10;0;1:TVector;1;0;1;0;
3;11:operator+=();0:nada;2;10;0;1:TVector;1;6;1;0;
1;12:nada;0:nada;2;10;0;1:TVector;1;0;1;0;
3;12:nada;0:nada;2;10;0;1:TVector;1;0;1;0;
1;1:Add();0:nada;3;10;0;1:TVector;1;3;1;0;
3;1:Add();0:nada;3;10;0;1:TVector;1;11;1;0;
1;2:Sort();0:nada;3;10;0;1:TVector;1;91;1;1;
3;2:Sort();0:nada;3;10;0;1:TVector;1;276;1;1;
1;3:RandomOrder();0:nada;3;10;0;1:TVector;1;13;1;0;
3;3:RandomOrder();0:nada;3;10;0;1:TVector;1;84;1;0;
1;4:Invert();0:nada;3;10;0;1:TVector;1;0;1;0;
3;4:Invert();0:nada;3;10;0;1:TVector;1;1;1;0;
1;5:BeASet();0:nada;3;10;0;1:TVector;1;91;1;1;
3;5:BeASet();0:nada;3;10;0;1:TVector;1;310;1;1;
1;6:Difference();0:nada;3;10;0;1:TVector;1;296;1;1;
3;6:Difference();0:nada;3;10;0;1:TVector;1;785;1;1;
1;7:Union();0:nada;3;10;0;1:TVector;1;210;1;1;
3;7:Union();0:nada;3;10;0;1:TVector;1;722;1;1;
1;8:Contained();0:nada;3;10;0;1:TVector;1;163;1;1;
3;8:Contained();0:nada;3;10;0;1:TVector;1;547;1;1;
1;9:Intersection();0:nada;3;10;0;1:TVector;1;184;1;1;
3;9:Intersection();0:nada;3;10;0;1:TVector;1;696;1;1;
1;10:operator=();0:nada;3;10;0;1:TVector;1;0;1;0;
3;10:operator=();0:nada;3;10;0;1:TVector;1;1;1;0;
1;11:operator+=();0:nada;3;10;0;1:TVector;1;0;1;0;
3;11:operator+=();0:nada;3;10;0;1:TVector;1;6;1;0;
1;12:nada;0:nada;3;10;0;1:TVector;1;0;1;0;
3;12:nada;0:nada;3;10;0;1:TVector;1;0;1;0;
1;1:Add();0:nada;4;10;0;1:TVector;1;3;1;0;
3;1:Add();0:nada;4;10;0;1:TVector;1;10;1;0;
1;2:Sort();0:nada;4;10;0;1:TVector;1;75;1;1;
3;2:Sort();0:nada;4;10;0;1:TVector;1;276;1;1;
1;3:RandomOrder();0:nada;4;10;0;1:TVector;1;16;1;0;
3;3:RandomOrder();0:nada;4;10;0;1:TVector;1;64;1;0;
1;4:Invert();0:nada;4;10;0;1:TVector;1;0;1;0;
3;4:Invert();0:nada;4;10;0;1:TVector;1;1;1;0;
1;5:BeASet();0:nada;4;10;0;1:TVector;1;89;1;1;
3;5:BeASet();0:nada;4;10;0;1:TVector;1;278;1;1;
1;6:Difference();0:nada;4;10;0;1:TVector;1;171;1;1;
3;6:Difference();0:nada;4;10;0;1:TVector;1;648;1;1;
1;7:Union();0:nada;4;10;0;1:TVector;1;181;1;1;
3;7:Union();0:nada;4;10;0;1:TVector;1;533;1;1;
1;8:Contained();0:nada;4;10;0;1:TVector;1;164;1;1;
3;8:Contained();0:nada;4;10;0;1:TVector;1;554;1;1;
1;9:Intersection();0:nada;4;10;0;1:TVector;1;177;1;1;
3;9:Intersection();0:nada;4;10;0;1:TVector;1;579;1;1;
1;10:operator=();0:nada;4;10;0;1:TVector;1;0;1;0;
3;10:operator=();0:nada;4;10;0;1:TVector;1;1;1;0;
1;11:operator+=();0:nada;4;10;0;1:TVector;1;1;1;0;
3;11:operator+=();0:nada;4;10;0;1:TVector;1;7;1;0;
1;12:nada;0:nada;4;10;0;1:TVector;1;0;1;0;
3;12:nada;0:nada;4;10;0;1:TVector;1;0;1;0;
1;1:Add();0:nada;5;10;0;1:TVector;1;3;1;0;
3;1:Add();0:nada;5;10;0;1:TVector;1;16;1;0;
1;2:Sort();0:nada;5;10;0;1:TVector;1;77;1;1;
3;2:Sort();0:nada;5;10;0;1:TVector;1;274;1;1;
1;3:RandomOrder();0:nada;5;10;0;1:TVector;1;11;1;0;
3;3:RandomOrder();0:nada;5;10;0;1:TVector;1;43;1;0;
1;4:Invert();0:nada;5;10;0;1:TVector;1;0;1;0;
3;4:Invert();0:nada;5;10;0;1:TVector;1;1;1;0;
1;5:BeASet();0:nada;5;10;0;1:TVector;1;85;1;1;
3;5:BeASet();0:nada;5;10;0;1:TVector;1;252;1;1;
1;6:Difference();0:nada;5;10;0;1:TVector;1;184;1;1;
3;6:Difference();0:nada;5;10;0;1:TVector;1;551;1;1;
1;7:Union();0:nada;5;10;0;1:TVector;1;175;1;1;
3;7:Union();0:nada;5;10;0;1:TVector;1;575;1;1;
1;8:Contained();0:nada;5;10;0;1:TVector;1;157;1;1;
3;8:Contained();0:nada;5;10;0;1:TVector;1;569;1;1;
1;9:Intersection();0:nada;5;10;0;1:TVector;1;184;1;1;
3;9:Intersection();0:nada;5;10;0;1:TVector;1;601;1;1;
1;10:operator=();0:nada;5;10;0;1:TVector;1;0;1;0;
