sep=;
Instância;P1(Método);P2(Debug);P3(Seed);P4(Tempo);P5(Iterações);P6(Estrutura);I1(Resultado);I2(Tempo(ms));I3(Iterações);I4(Ordenado);
1;2:Sort();0:nada;1;10;0;1:TVector;1;79;1;1;
2;2:Sort();0:nada;1;10;0;1:TVector;1;161;1;1;
3;2:Sort();0:nada;1;10;0;1:TVector;1;242;1;1;
4;2:Sort();0:nada;1;10;0;1:TVector;1;472;1;1;
5;2:Sort();0:nada;1;10;0;1:TVector;1;478;1;1;
6;2:Sort();0:nada;1;10;0;1:TVector;1;559;1;1;
7;2:Sort();0:nada;1;10;0;1:TVector;1;627;1;1;
8;2:Sort();0:nada;1;10;0;1:TVector;1;759;1;1;
9;2:Sort();0:nada;1;10;0;1:TVector;1;917;1;1;
10;2:Sort();0:nada;1;10;0;1:TVector;1;926;1;1;
1;2:Sort();0:nada;2;10;0;1:TVector;1;81;1;1;
2;2:Sort();0:nada;2;10;0;1:TVector;1;164;1;1;
3;2:Sort();0:nada;2;10;0;1:TVector;1;252;1;1;
4;2:Sort();0:nada;2;10;0;1:TVector;1;369;1;1;
5;2:Sort();0:nada;2;10;0;1:TVector;1;430;1;1;
6;2:Sort();0:nada;2;10;0;1:TVector;1;552;1;1;
7;2:Sort();0:nada;2;10;0;1:TVector;1;673;1;1;
8;2:Sort();0:nada;2;10;0;1:TVector;1;700;1;1;
9;2:Sort();0:nada;2;10;0;1:TVector;1;836;1;1;
10;2:Sort();0:nada;2;10;0;1:TVector;1;900;1;1;
1;2:Sort();0:nada;3;10;0;1:TVector;1;75;1;1;
2;2:Sort();0:nada;3;10;0;1:TVector;1;154;1;1;
3;2:Sort();0:nada;3;10;0;1:TVector;1;238;1;1;
4;2:Sort();0:nada;3;10;0;1:TVector;1;363;1;1;
5;2:Sort();0:nada;3;10;0;1:TVector;1;417;1;1;
6;2:Sort();0:nada;3;10;0;1:TVector;1;510;1;1;
7;2:Sort();0:nada;3;10;0;1:TVector;1;594;1;1;
8;2:Sort();0:nada;3;10;0;1:TVector;1;697;1;1;
9;2:Sort();0:nada;3;10;0;1:TVector;1;804;1;1;
10;2:Sort();0:nada;3;10;0;1:TVector;1;890;1;1;
1;2:Sort();0:nada;4;10;0;1:TVector;1;85;1;1;
2;2:Sort();0:nada;4;10;0;1:TVector;1;156;1;1;
3;2:Sort();0:nada;4;10;0;1:TVector;1;240;1;1;
4;2:Sort();0:nada;4;10;0;1:TVector;1;337;1;1;
5;2:Sort();0:nada;4;10;0;1:TVector;1;415;1;1;
6;2:Sort();0:nada;4;10;0;1:TVector;1;538;1;1;
7;2:Sort();0:nada;4;10;0;1:TVector;1;609;1;1;
8;2:Sort();0:nada;4;10;0;1:TVector;1;705;1;1;
9;2:Sort();0:nada;4;10;0;1:TVector;1;807;1;1;
10;2:Sort();0:nada;4;10;0;1:TVector;1;888;1;1;
1;2:Sort();0:nada;5;10;0;1:TVector;1;81;1;1;
2;2:Sort();0:nada;5;10;0;1:TVector;1;163;1;1;
3;2:Sort();0:nada;5;10;0;1:TVector;1;242;1;1;
4;2:Sort();0:nada;5;10;0;1:TVector;1;323;1;1;
5;2:Sort();0:nada;5;10;0;1:TVector;1;418;1;1;
6;2:Sort();0:nada;5;10;0;1:TVector;1;498;1;1;
7;2:Sort();0:nada;5;10;0;1:TVector;1;624;1;1;
8;2:Sort();0:nada;5;10;0;1:TVector;1;682;1;1;
9;2:Sort();0:nada;5;10;0;1:TVector;1;808;1;1;
10;2:Sort();0:nada;5;10;0;1:TVector;1;894;1;1;
1;2:Sort();0:nada;6;10;0;1:TVector;1;73;1;1;
2;2:Sort();0:nada;6;10;0;1:TVector;1;152;1;1;
3;2:Sort();0:nada;6;10;0;1:TVector;1;244;1;1;
4;2:Sort();0:nada;6;10;0;1:TVector;1;335;1;1;
5;2:Sort();0:nada;6;10;0;1:TVector;1;441;1;1;
6;2:Sort();0:nada;6;10;0;1:TVector;1;538;1;1;
7;2:Sort();0:nada;6;10;0;1:TVector;1;611;1;1;
8;2:Sort();0:nada;6;10;0;1:TVector;1;681;1;1;
9;2:Sort();0:nada;6;10;0;1:TVector;1;772;1;1;
10;2:Sort();0:nada;6;10;0;1:TVector;1;898;1;1;
1;2:Sort();0:nada;7;10;0;1:TVector;1;86;1;1;
2;2:Sort();0:nada;7;10;0;1:TVector;1;197;1;1;
3;2:Sort();0:nada;7;10;0;1:TVector;1;304;1;1;
4;2:Sort();0:nada;7;10;0;1:TVector;1;327;1;1;
5;2:Sort();0:nada;7;10;0;1:TVector;1;429;1;1;
6;2:Sort();0:nada;7;10;0;1:TVector;1;516;1;1;
7;2:Sort();0:nada;7;10;0;1:TVector;1;592;1;1;
8;2:Sort();0:nada;7;10;0;1:TVector;1;746;1;1;
9;2:Sort();0:nada;7;10;0;1:TVector;1;837;1;1;
10;2:Sort();0:nada;7;10;0;1:TVector;1;881;1;1;
1;2:Sort();0:nada;8;10;0;1:TVector;1;73;1;1;
2;2:Sort();0:nada;8;10;0;1:TVector;1;158;1;1;
3;2:Sort();0:nada;8;10;0;1:TVector;1;238;1;1;
4;2:Sort();0:nada;8;10;0;1:TVector;1;333;1;1;
5;2:Sort();0:nada;8;10;0;1:TVector;1;420;1;1;
6;2:Sort();0:nada;8;10;0;1:TVector;1;523;1;1;
7;2:Sort();0:nada;8;10;0;1:TVector;1;611;1;1;
8;2:Sort();0:nada;8;10;0;1:TVector;1;693;1;1;
9;2:Sort();0:nada;8;10;0;1:TVector;1;775;1;1;
10;2:Sort();0:nada;8;10;0;1:TVector;1;882;1;1;
1;2:Sort();0:nada;9;10;0;1:TVector;1;75;1;1;
2;2:Sort();0:nada;9;10;0;1:TVector;1;168;1;1;
3;2:Sort();0:nada;9;10;0;1:TVector;1;250;1;1;
4;2:Sort();0:nada;9;10;0;1:TVector;1;336;1;1;
5;2:Sort();0:nada;9;10;0;1:TVector;1;437;1;1;
6;2:Sort();0:nada;9;10;0;1:TVector;1;526;1;1;
7;2:Sort();0:nada;9;10;0;1:TVector;1;605;1;1;
8;2:Sort();0:nada;9;10;0;1:TVector;1;722;1;1;
9;2:Sort();0:nada;9;10;0;1:TVector;1;794;1;1;
10;2:Sort();0:nada;9;10;0;1:TVector;1;877;1;1;
1;2:Sort();0:nada;10;10;0;1:TVector;1;73;1;1;
2;2:Sort();0:nada;10;10;0;1:TVector;1;156;1;1;
3;2:Sort();0:nada;10;10;0;1:TVector;1;240;1;1;
4;2:Sort();0:nada;10;10;0;1:TVector;1;340;1;1;
5;2:Sort();0:nada;10;10;0;1:TVector;1;464;1;1;
6;2:Sort();0:nada;10;10;0;1:TVector;1;597;1;1;
7;2:Sort();0:nada;10;10;0;1:TVector;1;595;1;1;
8;2:Sort();0:nada;10;10;0;1:TVector;1;678;1;1;
9;2:Sort();0:nada;10;10;0;1:TVector;1;792;1;1;
10;2:Sort();0:nada;10;10;0;1:TVector;1;875;1;1;
